,rf-hsv,"rf-{'cspace': 'hsv', 'si': ['soci', 'ibs', 'ikaw', 'rgri', 'difgb', 'difgr', 'ColFeatInd', 'RI', 'CI', 'SI', 'BI', 'HI', 'rn', 'gn', 'bn', 'ngrdi', 'difNorGB']}","rf-{'cspace': 'hsv', 'si': ['soci', 'ibs', 'ikaw', 'rgri', 'difgb', 'difgr', 'ColFeatInd', 'RI', 'CI', 'SI', 'BI', 'HI', 'rn', 'gn', 'bn', 'ngrdi', 'difNorGB'], 'si_only': True}",nn-hsv,"nn-{'cspace': 'hsv', 'si': ['soci', 'ibs', 'ikaw', 'rgri', 'difgb', 'difgr', 'ColFeatInd', 'RI', 'CI', 'SI', 'BI', 'HI', 'rn', 'gn', 'bn', 'ngrdi', 'difNorGB']}","nn-{'cspace': 'hsv', 'si': ['soci', 'ibs', 'ikaw', 'rgri', 'difgb', 'difgr', 'ColFeatInd', 'RI', 'CI', 'SI', 'BI', 'HI', 'rn', 'gn', 'bn', 'ngrdi', 'difNorGB'], 'si_only': True}"
lucas-51-1,0.721,0.731,0.721,0.716,0.715,0.708
lucas-52-2,0.73,0.736,0.727,0.737,0.721,0.727
lucas-53-3,0.695,0.725,0.722,0.721,0.714,0.731
lucas-54-4,0.73,0.721,0.709,0.725,0.718,0.729
lucas-55-5,0.743,0.742,0.731,0.749,0.746,0.751
lucas-56-6,0.751,0.756,0.746,0.757,0.751,0.769
lucas-57-7,0.779,0.772,0.765,0.769,0.771,0.78
lucas-58-8,0.701,0.698,0.703,0.725,0.704,0.714
lucas-59-9,0.726,0.729,0.716,0.743,0.733,0.734
lucas-60-0,0.693,0.708,0.707,0.699,0.689,0.691
lucas-61-1,0.741,0.743,0.732,0.735,0.736,0.733
lucas-62-2,0.701,0.72,0.715,0.718,0.728,0.717
lucas-63-3,0.751,0.756,0.751,0.745,0.745,0.75
lucas-64-4,0.745,0.762,0.76,0.771,0.742,0.765
lucas-65-5,0.756,0.753,0.743,0.754,0.736,0.751
lucas-66-6,0.732,0.736,0.724,0.728,0.721,0.739
lucas-67-7,0.737,0.741,0.74,0.749,0.742,0.748
lucas-68-8,0.744,0.745,0.735,0.734,0.749,0.746
lucas-69-9,0.696,0.706,0.709,0.687,0.701,0.711
lucas-70-0,0.699,0.701,0.695,0.688,0.687,0.651
lucas-71-1,0.693,0.697,0.693,0.701,0.688,0.681
