X,Y,Z,oc
23.2905305247,5.40172594535,12.4116114284,11.5
23.42210286,5.46385781229,15.5576805143,9.8
25.7673257233,5.54918089142,13.703128807,11.6
23.9530934088,4.9699331486,15.2316542944,11.3
23.5758629024,5.35063289541,13.2609981392,8.8
27.4455040407,5.4621132216,17.0538312444,8.8
25.1265105097,5.61764193336,14.8155856117,8.6
31.7709249587,4.52288571078,17.7982327117,9.4
24.7676635715,5.28613649789,12.4238488951,9.4
21.9521549324,4.41117768301,12.1030843421,10.5
15.8956485163,4.36686830023,10.3332572237,9.4
9.81749870023,3.19813975561,5.37868235821,15.3
15.1733345007,3.56562797989,9.67745677521,10.7
17.6032636283,4.78103856638,10.3933242651,9.2
7.62123707777,2.26369144304,3.61697291703,16.3
12.766016775,2.49542817336,6.66780947892,15.2
14.1199607849,3.45458801802,7.5890737849,18.3
11.8957516639,3.98868859188,7.75463348025,8.7
15.7618661326,4.94319698045,10.0652629627,7.3
10.7883314629,3.71155766786,6.58473918692,9.7
3.61773873558,0.90161980434,1.09848203709,169.0
27.0462285818,5.90865199628,14.6199979099,8.4
26.8295977967,5.5660235509,12.8458966656,8.2
30.8316322877,5.99087699468,14.94767366,7.8
22.6211810228,5.48670580807,12.8229539456,7.7
26.0077585893,5.62972732596,12.6947161983,8.0
25.598805647,5.55289903221,13.6919684885,7.5
27.7571199749,5.91274953735,14.2707166951,10.4
22.7048957787,5.25778974508,11.9703058001,13.3
20.4329276869,4.73369761768,11.1502647951,13.7
23.3967337984,4.93949190644,10.7879369176,10.0
24.4910954684,5.4095635647,14.1267377515,6.4
22.1868701583,5.19707537065,11.8073558632,7.4
25.0651273473,5.52773225813,11.9501052795,7.1
21.3980192176,5.05111617817,11.7113068021,7.6
5.0448574254,1.53056102893,1.88439708166,42.3
21.6218151691,4.80656919263,12.0854229997,8.0
24.2869363751,5.55139341209,12.2772599325,6.7
25.0244135118,5.16365364301,12.3228378379,8.9
12.3503219816,3.59868648063,5.53867288149,19.0
18.9432234202,4.60935407959,9.77175568926,10.6
20.0522443606,5.19625570055,11.2484851485,9.3
19.6442930334,4.83473481561,12.530098093,9.8
20.9726619865,5.04497639162,11.5359503572,8.5
13.562753511,3.98094482874,7.52900796854,14.1
19.9278766358,5.10369518096,11.1435788086,11.5
17.8064977104,4.29258805759,10.2906222126,11.5
5.87477064719,1.75536353863,2.40950160132,78.4
18.3309780915,4.04054709688,12.0964802265,9.6
16.4383737076,4.1486636455,10.3021209394,10.2
13.7539860755,3.59182160829,7.54599405416,12.2
11.8148150942,3.13352243235,6.23881107485,11.7
11.5680420018,2.80015383245,5.89893293411,11.6
13.3093231045,3.76311351868,7.00608787613,15.2
6.121405915,1.98202783541,2.43960900872,39.4
8.0408772348,2.69865102701,4.17850862901,23.0
19.3971142704,4.08932319401,10.1538291627,9.7
15.9772720966,3.97709783878,8.58690318046,13.3
15.7226128021,3.5984463798,8.48145781532,16.4
15.5515866588,3.52452735164,8.33484295194,16.6
6.19435746865,1.73133961717,2.41474436083,36.2
14.3210797506,3.96664782198,7.82904676776,13.5
