rf-rgb,rf-hsv,nn-hsv,nn-cielab
0.615552092,0.663331586,0.692788287,0.686166017
0.67567822,0.750171192,0.761458877,0.763915174
0.560886176,0.641385311,0.670626836,0.641200311
0.634562184,0.737592219,0.756823562,0.719151308
0.635847293,0.67761714,0.711081038,0.71012638
0.527267887,0.634680362,0.633152283,0.626569472
0.624362435,0.773143466,0.772880969,0.766968212
0.6523688,0.732981298,0.748352846,0.739873912
0.606686756,0.675320118,0.729071516,0.700855813
0.679870802,0.797773247,0.788177737,0.77295928
0.400203921,0.452444071,0.443481271,0.435642823
0.384291912,0.416621028,0.421680607,0.412206867
0.399436615,0.399726496,0.41970249,0.42050278
0.42614635,0.443504504,0.45542726,0.449505056
0.415292304,0.440066904,0.443260011,0.420217113
0.365570918,0.409897336,0.407909767,0.395835985
0.411675829,0.422544505,0.426654217,0.432814173
0.380836379,0.43174011,0.427590558,0.414079043
0.391090448,0.415912081,0.414652784,0.421139474
0.399356337,0.412752848,0.428109905,0.426752239
0.449399454,0.626449571,0.672017165,0.652795211
0.506896081,0.718023397,0.713723872,0.706029031
0.479662264,0.70121822,0.749076503,0.724116159
0.469485883,0.694353576,0.737488325,0.71781638
0.514911488,0.701225986,0.720449492,0.735182205
0.482061365,0.668260107,0.696856677,0.681583486
0.47616046,0.687125529,0.722094177,0.715212274
0.471721441,0.649230189,0.69768247,0.693793749
0.469083244,0.66172257,0.717896745,0.722976248
0.477439234,0.679059775,0.718804991,0.687585075
