,rf-hsv,rf-cielab,nn-hsv,nn-cielab
lucas-0-0,0.684554513,0.674405689,0.692382224,0.67660385
lucas-0-1,0.761365694,0.733713182,0.765296228,0.768520912
lucas-0-2,0.653830446,0.610901327,0.670200918,0.645237329
lucas-0-3,0.750657817,0.704804674,0.762966381,0.733385237
lucas-0-4,0.691933798,0.689381719,0.714074015,0.713024648
lucas-0-5,0.63862331,0.582113524,0.645594034,0.627702048
lucas-0-6,0.785716671,0.721838541,0.780163432,0.761804204
lucas-0-7,0.738558528,0.710447397,0.74318975,0.725449197
lucas-0-8,0.700718255,0.665005099,0.718504434,0.700038703
lucas-0-9,0.807809316,0.751342049,0.798485974,0.779024617
raca-0-0,0.456890878,0.429861508,0.454498968,0.440396028
raca-0-1,0.427482666,0.417689582,0.438799063,0.429226982
raca-0-2,0.414789185,0.419828917,0.42423323,0.425261495
raca-0-3,0.459963533,0.453888361,0.470404075,0.460704131
raca-0-4,0.441800276,0.427927484,0.45022834,0.437385945
raca-0-5,0.416882807,0.391178591,0.40814949,0.399595739
raca-0-6,0.432918337,0.42923129,0.444503931,0.44325999
raca-0-7,0.438416457,0.421312418,0.42415824,0.423385173
raca-0-8,0.422671166,0.418974904,0.427218791,0.428445956
raca-0-9,0.423351972,0.420820837,0.437581337,0.434902259
ossl-0-0,0.70108827,0.606737629,0.689110994,0.701217111
ossl-0-1,0.745565466,0.648129869,0.727229318,0.739090911
ossl-0-2,0.744653392,0.628866644,0.735526078,0.735563736
ossl-0-3,0.692002459,0.602473513,0.641905878,0.667842152
ossl-0-4,0.728702445,0.644992112,0.709774111,0.721863481
ossl-0-5,0.704763094,0.612663686,0.681470007,0.689257177
ossl-0-6,0.698590121,0.627189275,0.693714513,0.694650771
ossl-0-7,0.710876809,0.622501199,0.696471759,0.708462067
ossl-0-8,0.763643667,0.657918152,0.748156319,0.741459873
ossl-0-9,0.704670082,0.606208405,0.678785366,0.686380437
