,lr-rgb,lr-hsv,lr-cielab,plsr-rgb,plsr-hsv,plsr-cielab,rf-rgb,rf-hsv,rf-cielab,svr-rgb,svr-hsv,svr-cielab,nn-rgb,nn-hsv,nn-cielab
lucas-0-0,0.239917793,0.333394759,0.261422482,0.234545685,0.33295079,0.25983189,0.6155520924875876,0.663331586059621,0.6409745061703511,0.548080815,0.590203991,0.567852033,0.689068345,0.696584364,0.685502856
lucas-0-1,0.259150732,0.354096428,0.284277282,0.259139182,0.353221192,0.284157647,0.6756782200733873,0.7501711924727057,0.7094172487409387,0.616857592,0.663248816,0.649964829,0.759855828,0.768754426,0.763946095
lucas-0-2,0.222324036,0.297891431,0.246166934,0.21844854,0.295474236,0.244082257,0.5608861759527547,0.6413853108647796,0.5816683272110696,0.426263403,0.535109551,0.49311539,0.630905409,0.67185624,0.644718156
lucas-0-3,0.250086196,0.341640212,0.273052448,0.248370891,0.341688642,0.273342834,0.6345621838784885,0.7375922186766353,0.6631450410701956,0.566202928,0.641222743,0.574067689,0.713556326,0.761702612,0.73763718
lucas-0-4,0.239519149,0.322020453,0.263238491,0.238250903,0.321810781,0.263053913,0.6358472929503063,0.6776171402206207,0.658926468045192,0.556693832,0.62021583,0.598957117,0.704132893,0.715029352,0.709424962
lucas-0-5,0.22835367,0.314066303,0.251725883,0.221981957,0.313351531,0.249114808,0.5272678874734922,0.6346803618473447,0.5439702542027087,0.492838651,0.549341468,0.520631246,0.628236576,0.638515596,0.626985613
lucas-0-6,0.24302451,0.337226299,0.267344641,0.238626964,0.338470633,0.266416483,0.6243624346052514,0.7731434657540462,0.6901024263188134,0.601094097,0.692363275,0.658232366,0.741147722,0.77338852,0.767760407
lucas-0-7,0.255765672,0.352000044,0.287238401,0.252431542,0.349442681,0.284083449,0.6523687996504582,0.7329812975000977,0.6963080958858469,0.590529049,0.650664109,0.627632528,0.737683343,0.756642309,0.743496582
lucas-0-8,0.250969853,0.353616371,0.278016481,0.24713196,0.350680405,0.275146475,0.6066867556093194,0.6753201175472002,0.6503067321432416,0.535976258,0.613998048,0.577688321,0.685981573,0.726415456,0.706699636
lucas-0-9,0.256474575,0.353391281,0.285549824,0.252842292,0.35301819,0.283645408,0.6798708019458,0.7977732473858983,0.7166227437113193,0.623865709,0.699229749,0.677331567,0.762248707,0.794686453,0.774030812
