hue,oc
0.057477131,49.67409091
0.044554074,49.67409091
0.044636591,55.53
0.052668133,43.37
0.049491999,44.86
0.05357683,48.47090909
0.051181834,48.47090909
0.048974632,48.87838486
0.04284007,49.02
0.045194947,20.27796224
0.075405325,20.27796224
0.041312979,43.01815707
0.045651496,55.12
0.054649973,53.27
0.061784229,35.52
0.101938244,25.5
0.130014399,48.09
0.076162448,55.14
0.067669699,8.684545381
0.109410036,50.13
0.095507513,52.93
0.057535727,51.93
0.096795152,46.31
0.102725602,49.81
0.056877235,55.24
0.07128331,52.75
0.070480752,53.75
0.057089546,50.37
0.06444171,51.64
0.059143793,52.52
0.053306416,52.11
0.073490014,34.15
0.110586218,4.87
0.100546652,6.42
0.074968579,25.0
0.097799925,14.67
0.077900813,25.53
0.077040055,24.67
0.087335981,14.04
0.091791512,44.88
0.087474285,13.24
0.092516853,12.38
0.071940623,43.48
0.129200147,8.8
0.074938776,22.56
0.160198411,25.77
0.165123301,25.94
0.124051899,22.78
0.113465179,31.72
0.160216149,26.86
0.091312732,26.91
0.149649784,30.84
0.118491438,23.04
0.127453179,26.36
0.150546849,27.75
0.12121632,21.18
0.082908441,35.18
0.104785885,35.18
0.113439379,25.27
0.097752595,25.8
0.117556027,28.94
0.115360578,28.94
0.054068982,37.21568627
0.050974421,37.21568627
0.094817449,9.351114361
0.038379935,39.67
0.054530716,31.57
0.055513593,40.3
0.081160377,37.81
0.134337536,28.39
0.352043971,11.22
0.071033838,37.23
0.074160226,21.88772286
0.236697786,15.69196475
0.205812933,17.76
0.099387039,25.37658281
0.057952011,21.88772286
0.141007866,15.69196475
0.171949339,22.47
0.086671721,25.37658281
0.117077269,21.88772286
0.183003946,15.69196475
0.143220179,24.11
0.064084344,25.37658281
0.068339393,21.88772286
0.168787112,15.69196475
0.211688582,23.45
0.055305829,44.89130435
0.046766716,44.89130435
0.042643989,51.7
0.044268336,50.63
0.085107691,28.24521739
0.092787021,28.24521739
0.043799528,44.32513514
0.044259629,44.32513514
0.048783353,51.21
0.054176973,28.80703704
0.071935556,28.80703704
0.042400221,46.49605263
0.052115172,46.49605263
0.039924845,48.18
0.07055621,28.34862069
0.088748955,28.34862069
0.060105549,34.58
0.044985007,48.36
0.084278952,29.11875
0.073646795,29.11875
0.054728964,50.01
0.048929441,47.32
0.159678569,37.03
0.127186597,30.34
0.13278497,29.04
0.120894224,37.96
0.10650788,40.44
0.109610661,20.97
0.092988276,23.95
0.121225264,19.46
0.105333272,18.23
0.04754527,8.64
0.074271795,32.18
0.096621536,21.39
0.088499483,19.9
0.096285882,31.75
0.090718516,23.4
0.086757611,28.98
0.083999974,27.89
0.125681219,14.37
0.056953885,29.52
0.062443734,29.41
0.079057863,29.3
0.066641964,25.38
0.072916713,29.98
0.066500747,28.52
0.074478028,23.02
0.059605023,40.38
0.042759234,23.05058632
0.05510458,40.27
0.041219197,23.05058632
0.21956284,1.231240139
0.227499136,1.019437427
0.256804043,1.403542372
0.178778272,1.973499436
0.178931771,1.122949764
0.20298655,2.345089062
0.214556324,1.596976628
0.072887913,51.98
0.088080359,46.44
0.110566844,39.55
0.072773931,48.46
0.087788319,50.72
0.074008516,53.65
0.078659349,53.7
0.08492101,53.97
0.064873545,57.67
0.083435418,54.32
0.091210028,53.48
0.104217284,19.56676519
0.134962577,3.106077263
0.130966707,2.044253845
0.18016269,1.147093988
0.160161429,0.840353695
0.172475457,1.053498817
0.116898876,2.150083908
0.132369472,2.080028254
0.091910246,2.378158187
0.065608871,14.28984508
0.106634891,26.2
0.164409535,26.2
0.105958733,31.55
0.111490152,44.75
0.103837284,41.51
0.122029878,46.56
0.101828586,40.1
0.094179045,19.71
0.140824932,7.28
0.104836014,19.43
0.089868019,29.4
0.101982731,26.22
0.095952786,17.37
0.085973747,30.63
0.080109579,39.58
0.105160015,44.65
0.084393615,48.07428571
0.118423211,48.07428571
0.111404847,46.1
0.085019527,51.96
0.124563801,56.15
0.077750664,53.65
0.077802693,21.39
0.084695104,32.24
0.061504315,54.72
0.071106541,46.19
0.070108249,52.82
0.042436857,51.24
0.09162481,41.91
0.090003224,48.45
0.096818814,40.36
0.102545656,42.72
0.125909493,51.73
0.110014294,42.77
0.085493715,51.32
0.109012922,44.44
0.113885796,41.42
0.103221379,38.92
0.119848901,54.5
0.083161528,55.8
0.084720175,50.77
0.11072661,40.45
0.116009828,45.0
0.152531176,22.84
0.110383002,50.45
0.151605329,29.63
0.076714204,43.48
0.059512663,10.33903279
0.058229384,8.860697265
0.085321227,7.671425676
0.135655507,9.260888921
0.144872419,7.350787248
0.105015031,35.78
0.15952366,12.95
0.099095743,23.16
0.143428225,13.8
0.110657387,11.81
0.139209254,13.15
0.13236384,31.5
0.111896986,29.79
0.113032725,39.63
0.10112874,52.02
0.10364883,39.07
0.068354282,53.09
0.112364609,32.45
0.100144965,41.54
0.08451779,44.99
0.081756057,20.32
0.094891125,23.2
0.079722844,37.65
0.072260409,45.48
0.131162783,29.64
0.097494901,36.13
0.106018127,35.46
0.093648304,41.44
0.105846261,17.3
0.107033241,50.86
0.059775529,30.23
0.144383433,32.57
0.087072275,19.98
0.067862538,44.19
0.070714085,45.83
0.066212798,45.65
0.069857092,42.19
0.086234871,35.45
0.119788024,44.66
0.107544416,50.91
0.096370301,43.62
0.11486503,27.58
0.094959761,41.17
0.097749047,41.98
0.117668101,24.82
0.120257943,33.64
0.091089792,18.7
0.136688665,24.16
0.104015964,20.7
0.087891171,30.56
0.088914026,34.84
0.174208145,1.249279484
0.165891816,1.126145533
0.22519033,0.499517544
0.338547,0.523597361
0.082618721,33.86
0.079658941,26.28
0.115547009,26.12
0.092376823,19.57
0.119308248,33.94
0.13912026,37.41
0.120449903,33.55
0.093527777,47.88
0.24952768,0.627149753
0.283224991,1.511542277
0.400939324,0.385978999
0.357744649,0.368043393
0.111278314,47.83
0.104798543,34.67
0.112580159,40.78
0.121526838,51.61
0.127503695,45.26
0.113953097,14.42
0.150969868,14.42
0.0765667,33.13
0.188348219,0.882356412
0.250619702,0.779877086
0.295946588,0.704177361
0.387899437,2.081124483
0.458555055,5.99626167
0.418896831,0.741742526
0.317711274,1.576967348
0.414353932,1.402427717
0.127470442,2.425343337
0.137461178,2.427889548
0.130608437,1.890163179
0.141660633,1.495079357
0.169947794,1.072361112
0.164560536,1.112389343
0.114253617,24.43
0.106645039,18.31
0.13761994,23.78
0.065771268,25.94
0.070951329,55.58
0.082260635,54.36
0.085579249,51.09
0.051112456,54.6
0.054099362,56.2
0.063474436,52.33
0.067755521,53.7
0.050242314,47.7
0.097157788,48.44
0.056135762,37.82333333
0.069129815,37.82333333
0.049939575,33.22416667
0.129469855,33.22416667
0.064493144,43.38153846
0.065844434,43.38153846
0.093435399,22.39545455
0.112729694,22.39545455
0.104803564,25.55
0.088724507,25.55
0.141216208,27.07
0.084365154,23.06
0.200381201,6.5
0.073142043,35.99
0.111525408,21.55
0.147922922,11.32
0.087127763,29.78
0.331850951,11.06
0.128326803,23.36
0.079177451,15.9
0.079690234,13.62
0.096718818,16.82
0.186776618,7.261247223
0.185938872,3.40291065
0.232121582,0.990324447
0.255325506,0.918954657
0.168479343,1.692771125
0.150078558,10.74
0.107118887,10.74
0.098361777,48.09
0.128636149,19.55
0.13409319,27.63
0.123225395,31.71
0.074026066,52.74
0.05863827,45.65
0.059060102,47.11
0.091725937,50.75
0.109534047,18.53
0.079878918,43.5
0.124060128,18.11
0.091038298,24.12
0.181085767,4.452205413
0.170317946,3.959920312
0.159134021,4.24907965
0.210894849,0.939372247
0.27398509,0.492538321
0.30159792,0.377610752
0.074819697,11.65178042
0.085376033,18.43393532
0.119291576,1.673178401
0.126394511,1.904332947
0.139052629,1.711509294
0.167312471,1.411187773
0.172560618,1.540506611
0.188210152,0.806829724
0.193233986,0.630821624
0.212250773,0.711067483
0.214388371,0.586283632
0.17480935,2.040085716
0.1956464,0.612334397
0.213228882,2.860200503
0.222277723,2.101381789
0.208348866,1.099433238
0.188374384,1.232486097
0.174251293,1.037152504
0.193033002,0.916826907
0.235842137,0.557156221
0.189209891,0.584982043
0.216258669,0.628621302
0.396844657,0.336194683
0.396726055,0.302490829
0.471939224,0.35636576
0.171116585,1.971437696
0.171856824,2.374529526
0.176681595,2.340492987
0.208862026,1.308185598
0.190034966,1.485287248
0.201501513,1.426915283
0.220879351,0.66053439
0.218438775,0.778364706
0.290388204,0.567725681
0.357373683,0.526223246
0.230209904,0.78475822
0.181188664,1.543010887
0.178854935,1.122651388
0.164606104,0.912227339
0.18426752,0.637100738
0.195852393,0.434375743
0.273406249,0.41990728
0.326679184,0.35539033
0.277969197,0.324894033
0.284808554,0.338518338
0.460097092,0.268799036
0.501297059,0.329152658
0.091963717,35.74
0.11010939,36.85
0.103764541,38.92
0.102088905,45.38
0.105143613,38.34
0.132962872,35.9
0.130076128,10.29
0.14943768,2.349692593
0.149516399,1.697629155
0.167578079,1.446601894
0.147162541,1.90555996
0.132984405,1.77729466
0.147496949,2.831702771
0.150135828,2.711427358
0.19960036,0.967455451
0.303632043,0.349674769
0.367455905,0.380940371
