hue,oc
15.3465364672,36.3
14.423585823,42.6
11.4570214306,37.4
11.3343129821,77.2
18.1236446876,39.3
18.4051125057,16.3
15.3412623619,38.9
20.6775867809,43.4
15.2366124301,20.8
8.81847853476,146.9
9.72908446046,96.7
17.0802102467,34.2
18.0212802586,35.1
23.5087838441,47.0
14.8305172709,55.5
19.2514650101,26.1
14.5501890403,78.5
9.9782785406,80.0
25.3048201238,24.3
15.1095562799,45.2
6.56093835613,104.3
12.5136596925,91.5
18.8846703347,45.7
23.2633334098,10.5
16.0186913878,33.4
13.7607223697,75.7
14.3368506485,42.1
14.197928573,79.1
21.3891358609,45.6
13.3830081067,60.5
16.3807679917,55.0
11.8649809444,56.2
14.0245416209,54.4
20.9869667405,33.2
14.8409895421,23.4
15.8337876291,21.8
9.56430630401,70.9
21.1777516272,11.7
22.4779464877,4.0
18.9947411946,42.7
20.0816072216,18.0
18.5568953388,28.1
14.0208475587,37.7
17.874433091,33.3
22.0469241568,22.3
16.6394111454,39.5
11.6967347337,78.1
24.6407316085,13.7
18.3552983692,19.4
14.1988401322,65.1
14.6352319327,47.5
15.6692168826,28.4
13.2997893266,44.8
25.6732177069,11.2
6.5863237484,145.2
20.3934867769,26.9
10.85498626,25.8
16.6343463092,23.8
14.3495872882,32.5
14.4318135147,28.9
18.1542366561,17.5
23.5702392393,33.5
8.71612180268,111.4
16.9930843001,13.7
8.65558634116,45.7
10.3838821481,64.1
15.0894520133,22.8
21.5425004975,32.0
11.1209624491,42.6
8.47778509601,71.6
20.2630521547,35.1
12.4532031196,18.7
6.47290709293,31.1
6.34595710852,157.2
18.1475204047,35.7
16.6439442138,31.9
16.4161414144,19.8
18.3370667332,24.4
12.7938394867,66.6
15.9077468788,33.0
14.0581452886,41.7
15.6059380145,29.8
14.7463818446,32.9
16.9447282918,45.5
15.6039914344,37.1
15.9248174354,31.7
23.0933868868,68.7
10.1484709744,45.1
15.3465535772,31.8
17.5886393565,17.5
16.2534671613,33.5
17.9898893403,33.5
16.3742169003,25.0
18.4278679699,27.0
21.1683077579,15.7
18.4993416674,24.1
19.752409816,20.2
22.5540600503,36.3
23.5125331563,23.9
14.1798146959,49.8
12.6867669759,40.4
16.0050118285,39.8
16.3814977773,52.8
17.6416532462,45.9
18.6592032316,28.1
8.06710819058,45.8
18.3668652684,16.3
17.1289605519,18.2
13.2058803964,47.9
21.1362187677,21.8
20.9623484561,18.8
15.6482872554,17.0
23.521974024,22.5
17.8415458062,31.6
23.6134406158,33.1
19.2876011678,22.1
24.0403397539,44.6
25.4961174488,12.1
18.9983545954,26.9
23.5559976448,16.5
20.6612241208,13.6
21.3346611394,53.0
17.3325570951,17.4
15.2373120754,47.1
19.1297431646,54.3
17.1496754175,23.9
13.7381119294,41.6
23.9179488965,6.4
17.5129054687,36.4
11.3219362709,54.3
19.8219972385,33.7
10.0579249811,139.4
20.5888632415,39.4
15.86380626,42.7
19.5290420284,37.0
20.5890917943,28.8
16.5269216452,55.0
16.0585882397,51.7
15.9439080135,48.9
18.4345957898,14.1
20.0137014629,22.7
24.579039285,17.2
29.5897390865,13.9
23.4062650017,15.8
23.6498393238,22.6
9.93254859115,97.0
18.3675130726,24.3
18.4059801492,37.7
20.8841586876,23.5
21.6783768986,13.5
17.7866312311,37.1
17.5300177984,33.7
19.8162983489,12.5
19.7077954207,29.7
7.6094244703,117.1
17.2207229985,67.0
19.2737569963,21.0
13.8351296794,30.8
25.6459757228,9.9
17.4418769016,27.8
23.8079757679,15.9
22.6051243586,20.9
19.7346155174,28.4
17.0106572139,43.4
26.0601686428,21.0
21.5897815965,24.7
19.4593271056,33.6
20.0417311221,19.8
15.0905736834,33.3
7.25275679352,153.5
22.888496944,17.3
27.4422364152,12.6
22.9413664121,16.9
24.7443914932,22.3
27.660908477,22.0
29.9469625395,16.5
21.7941645861,38.4
19.125121115,37.0
21.2922306552,15.0
24.0057933729,18.3
16.2981893757,34.4
18.9165541014,28.9
