h,oc
0.070067847,54.1
0.066189081,88.6
0.065308849,89.2
0.066776908,73.4
0.062848368,95.1
0.057934586,150.9
0.07908527,40
0.073424308,52.1
0.074789301,33.7
0.059158949,194.9
0.059764916,153.9
0.069398502,73.3
0.065189562,79.2
0.066313975,124.9
0.08689706,31.2
0.086535441,54.3
0.050501945,260.5
0.061209139,140.1
0.079576225,46.9
0.066824803,64.7
0.073861028,58.1
0.066560988,140.8
0.076567433,77.9
0.074125011,62.7
0.060296495,120.6
0.069031375,47.9
0.059997414,161.7
0.077710513,39.4
0.072245457,57.4
0.073134745,47.2
0.06646878,40.3
0.066877629,70.6
0.082528361,68.8
0.074329274,63.3
0.078404128,19.7
0.059171384,146.2
0.055840004,108.2
0.051708806,259.9
0.036501826,328
0.05496263,135.9
0.052803823,163.9
0.051491196,153.1
0.072609367,34.3
0.071330205,30.1
0.057968405,80.1
0.064855669,89.9
0.033238526,388.3
0.094016351,20.5
0.049397519,291.3
0.084389357,33.6
0.072986094,33.2
0.072729778,36.5
0.083596115,27.6
0.070168396,21.5
0.067207374,45.1
0.055727831,156.3
0.064994327,62
0.05904839,105.4
0.054455496,265
0.077578807,41.9
0.073697157,30.6
0.082085043,25.6
0.044870737,368.3
0.058506035,190.2
0.072583351,34.8
0.050532331,328.5
0.04744959,334.7
0.06088603,71.5
0.059008192,129.7
0.071228455,109.8
0.07561811,24.6
0.076029369,42.8
0.073207156,25.5
0.08096729,20.2
0.078817555,16.8
0.075587704,29.5
0.072164981,31.4
0.08021624,33
0.091832009,7.9
0.082025205,21.4
0.075531582,30.4
0.063082277,73.1
0.083114772,40.8
0.05457179,173.2
0.063325952,103.2
0.070251906,80.8
0.049164504,303.6
0.058055565,146.3
0.065971687,76.7
0.082284578,77.3
0.060381894,329.8
0.075643542,56
0.059692457,127.3
0.054621743,167.8
0.08323241,31.9
0.070362864,42.4
0.074595412,58.7
0.083468266,36.6
0.073009988,33
0.05750842,121.6
0.064221963,159
0.059574124,91.8
0.05955426,116.2
0.073215393,62.7
0.083935335,39.9
0.061974724,138.6
0.077754915,46.9
0.093812381,43.9
0.07842966,29.5
0.06256245,82.5
0.077422098,122.6
0.066438244,61.5
0.089912624,61.5
0.07120916,61.7
0.057261198,101.2
0.073881227,57.9
0.071893322,58.8
0.079278436,22.6
0.049960107,139.1
0.07345632,53.4
0.070116411,39.6
0.05486133,141.3
0.070737839,70.4
0.054002061,51.2
0.068713979,128.7
0.065457317,143.2
0.068630008,103.3
0.081234088,45.2
0.070612376,64.2
0.067308341,100.4
0.071629329,44
0.065933428,99
0.085130349,28.6
0.081965326,30.3
0.084555888,31.4
0.055260796,111.3
0.089035067,57.1
0.087267972,52.4
0.072369058,56.5
0.07554088,40.2
0.072492628,61.1
0.036446018,385.5
