HX,HY,oc
0.948612302,0.316440675,157.2
0.879581153,0.475748879,35.7
0.87865852,0.477450737,31.9
0.870421843,0.492306626,19.8
0.849820933,0.527071515,24.4
0.906945117,0.421248804,66.6
0.8800969,0.474794109,33
0.867110566,0.498115716,41.7
0.894018012,0.448031018,29.8
0.896914232,0.442204546,32.9
0.899027001,0.437893197,45.5
0.872360833,0.488862533,37.1
0.887761429,0.460303863,31.7
0.891916259,0.452200605,68.7
0.892774093,0.450504628,45.1
0.895649983,0.444759606,31.8
0.853573695,0.520972118,17.5
0.868008608,0.496549148,33.5
0.891240514,0.453530975,33.5
0.852685554,0.522424489,25
0.862226515,0.506522889,27
0.847949281,0.530077369,15.7
0.870132566,0.492817733,24.1
0.85164849,0.524113393,20.2
0.868758141,0.495236602,36.3
0.843385441,0.537309034,23.9
0.890781618,0.454431633,49.8
0.898678695,0.438607574,40.4
0.90258553,0.430510583,39.8
0.931347347,0.364132007,52.8
0.89257609,0.450896798,45.9
0.894802567,0.446462054,28.1
0.955281402,0.29569823,45.8
0.887233939,0.461319778,16.3
0.882354978,0.470584416,18.2
0.891980844,0.452073196,47.9
0.851063618,0.525062584,21.8
0.851642588,0.524122985,18.8
0.868856331,0.495064315,17
0.847133066,0.531380813,22.5
0.888768789,0.4583558,31.6
0.823696569,0.567030831,33.1
0.86555116,0.500820516,22.1
0.870525645,0.492123055,44.6
0.822097902,0.569346151,12.1
0.848713043,0.528853638,26.9
0.834810256,0.55053777,16.5
0.839569749,0.543251909,13.6
0.872415025,0.488765817,53
0.792552294,0.609803954,17.4
0.900688888,0.434464644,47.1
0.882417366,0.470467419,54.3
0.876027988,0.482260265,23.9
0.912951785,0.408067443,41.6
0.81741003,0.576056284,6.4
0.890776195,0.454442263,36.4
0.905935146,0.423416475,54.3
0.880244933,0.474519607,33.7
0.936678575,0.350190302,139.4
0.871550413,0.490305902,39.4
0.891040417,0.453923975,42.7
0.885430058,0.464772646,37
0.901768324,0.432219725,28.8
0.884305232,0.466909259,55
0.907693472,0.419633841,51.7
0.889351342,0.457224443,48.9
0.878777982,0.477230823,14.1
0.852650876,0.522481085,22.7
0.866432711,0.499293858,17.2
0.862982351,0.505234067,13.9
0.877726207,0.479162504,15.8
0.855723629,0.517433157,22.6
0.942884227,0.3331206,97
0.892377975,0.451288766,24.3
0.895008218,0.446049649,37.7
0.887801841,0.460225913,23.5
0.881334441,0.472492966,13.5
0.915530747,0.402247998,37.1
0.887581044,0.460651593,33.7
0.852686049,0.52242368,12.5
0.892183447,0.451673219,29.7
0.920422982,0.390923949,117.1
0.917911972,0.396784087,67
0.862936374,0.50531259,21
0.886900169,0.461961136,30.8
0.858741301,0.512409384,9.9
0.892184042,0.451672044,27.8
0.873324264,0.487139333,15.9
0.88844144,0.458989987,20.9
0.896850475,0.44233384,28.4
0.902366128,0.430970267,43.4
0.880036966,0.474905189,21
0.889372817,0.457182669,24.7
0.901311828,0.433170854,33.6
0.873316053,0.487154053,19.8
0.907952356,0.419073405,33.3
0.945372786,0.32599125,153.5
0.874004506,0.485917815,17.3
0.859255691,0.511546339,12.6
0.882627733,0.470072638,16.9
0.870875207,0.491504194,22.3
0.871561011,0.490287063,22
0.844778275,0.535116498,16.5
0.884520966,0.46650044,38.4
0.867352633,0.497694093,37
0.856664353,0.515874196,15
0.858640416,0.512578419,18.3
0.875737441,0.48278767,34.4
0.874953616,0.484206743,28.9
0.887142705,0.461495202,36.4
0.882844584,0.469665243,36
0.86510669,0.501587894,35.2
0.882483289,0.470343752,30.5
0.873815126,0.486258291,23.2
0.894906562,0.446253565,70
0.845972858,0.533225959,26.2
0.910635003,0.413211679,94.9
0.927725317,0.373263628,121
0.892564455,0.45091983,15.5
0.903927235,0.42768628,18
0.911591435,0.411097379,14.6
0.849929854,0.526895856,13.9
0.900314406,0.435240129,44.9
0.904559848,0.426346668,18.9
0.845634201,0.533762867,14.1
0.906629737,0.42192715,10.6
0.8935249,0.449013644,30.9
0.918872498,0.3945546,13.1
0.893782188,0.448501282,23.7
0.887036505,0.461699295,18.6
0.907224446,0.420646889,15.8
0.912328423,0.409459214,17.6
0.868680013,0.495373632,16.4
0.924681526,0.380741481,8.1
0.927319514,0.374270649,17.9
0.906610981,0.42196745,15.4
0.8486703,0.528922227,12.1
0.852657499,0.522470277,26.1
0.86227862,0.506434183,20.4
0.814503233,0.580159016,9.8
0.871538827,0.490326497,25.1
0.915468439,0.402389783,13.3
0.902850661,0.429954281,21.3
0.86084713,0.508863655,23.8
0.872292168,0.488985045,15.9
0.906873739,0.421402445,18.7
0.870490419,0.492185363,18.1
0.910375847,0.413782331,26.2
0.883167997,0.469056808,13.4
0.873880099,0.486141515,22.1
0.865285277,0.501279751,14.3
0.882811013,0.469728342,18
0.854113428,0.520086774,14.7
0.875876493,0.482535356,29.7
0.866687149,0.498852068,18.3
0.911398562,0.411524799,16.6
0.918005054,0.396568684,21
0.869323271,0.494243918,9.7
0.849625797,0.527386011,10.9
0.901147253,0.433513123,26
0.869378325,0.494147072,11.1
0.890305917,0.455362904,47.6
0.858162822,0.513377611,11.2
0.91296739,0.408032529,20.6
0.862022411,0.506870164,16.2
0.902861186,0.429932178,55.4
0.871885937,0.489709009,17.2
0.865511185,0.500889597,13.2
0.886250129,0.463206983,20.8
0.881818295,0.471589328,14.6
0.886200614,0.463301707,33.1
0.88611444,0.463466504,12.2
0.901587867,0.432596021,32.5
0.900387475,0.435088951,24
0.886306758,0.463098618,20.9
0.910089787,0.414411123,68
0.886756006,0.462237802,34
0.906266315,0.422707187,29.8
0.870303937,0.492515033,11.8
0.871612559,0.490195418,14.6
0.919246705,0.393681973,83.5
0.897679001,0.440649988,38.7
0.899802814,0.436296797,45.6
0.838600488,0.544746934,17.3
0.962852675,0.27002727,319.3
0.909454247,0.415804007,62.5
0.945662179,0.325150801,126.5
0.941204862,0.337836361,166.6
0.904760431,0.42592084,55.9
0.945561709,0.32544286,146.5
0.970831904,0.23976116,286.8
0.906534076,0.422132643,64.5
0.911824249,0.410580734,60.3
0.974512551,0.224332984,325
0.920171108,0.391516451,168.4
0.884925313,0.46573296,101.1
0.922383552,0.386275267,105.1
0.952362524,0.304968233,218.7
0.836408335,0.54810683,27.7
0.94854883,0.316630885,206
0.875295612,0.483588246,74.6
0.881721465,0.471770344,37.3
0.915920043,0.401360779,77.1
0.928888688,0.370359022,79.2
0.956349828,0.292224239,174.7
0.964030721,0.265790838,329.2
0.939488954,0.342579196,165.4
0.959896335,0.280355179,332.6
0.940260716,0.340455263,187.3
0.90363245,0.428308762,139.5
0.892453766,0.451138866,110.1
0.956056848,0.293181347,255.2
0.847394061,0.530964505,37.3
0.919026078,0.394196737,63.1
0.961414862,0.27510264,277
0.937938539,0.346801525,87.2
0.905590666,0.424152739,31.5
0.893643694,0.448777169,86.4
0.913748279,0.406280793,43.1
0.843108989,0.53774272,24.9
0.846893905,0.531761895,21.2
0.906571442,0.422052391,76.1
0.766208007,0.642592631,49.3
0.941713634,0.336415565,142.7
0.941142527,0.338009977,112.1
0.889042863,0.45782397,62.5
0.893081074,0.44989576,26
0.914808569,0.403887711,36.6
0.911422559,0.411471651,67
0.924132463,0.382072233,131.6
0.904110302,0.427299148,64.5
0.861942042,0.50700682,37.3
0.937557467,0.347830412,308.3
0.907320973,0.420438643,96.3
0.919857642,0.392252366,97.6
0.870539471,0.492098597,27.9
0.896585628,0.442870422,44.8
0.85793823,0.513752852,26.2
0.832445874,0.554106368,24.6
0.891901055,0.452230592,35
0.944235597,0.329270615,98
0.887905859,0.460025201,36
0.9097291,0.415202317,88.8
0.93796672,0.346725298,105.2
0.887267444,0.461255333,29.2
0.884379272,0.466769004,25.4
0.928758479,0.370685429,108.3
0.89160228,0.452819361,43.6
0.911616368,0.411042088,95.4
0.909506056,0.41569067,106.4
0.911259994,0.411831548,82.2
0.882476128,0.470357186,47
0.920100806,0.39168164,55
0.901614176,0.432541187,83.3
0.904645461,0.426164979,54.1
0.914761863,0.403993483,88.6
0.916982211,0.398928094,89.2
0.913263505,0.407369329,73.4
0.92303968,0.384704756,95.1
0.934475351,0.356027834,150.9
0.879061031,0.476709245,40
0.895457455,0.445147106,52.1
0.891606762,0.452810536,33.7
0.93170884,0.363206053,194.9
0.93031922,0.3667508,153.9
0.906429745,0.422356624,73.3
0.917280951,0.398240702,79.2
0.914444554,0.404711203,124.9
0.854613467,0.519264694,31.2
0.855791092,0.51732157,54.3
0.950077206,0.312014907,260.5
0.926952948,0.3751776,140.1
0.877586316,0.479418667,46.9
0.913140872,0.407644143,64.7
0.894232605,0.447602555,58.1
0.91381533,0.406129959,140.8
0.886492274,0.462743393,77.9
0.893488958,0.449085161,62.7
0.929089082,0.369856023,120.6
0.907401592,0.42026462,47.9
0.929782468,0.368109443,161.7
0.88314593,0.469098355,39.4
0.89873004,0.438502356,57.4
0.896265864,0.443517194,47.2
0.914050472,0.405600462,40.3
0.913005518,0.407947206,70.6
0.868543212,0.495613447,68.8
0.892911856,0.450231515,63.3
0.881093167,0.472942735,19.7
0.93168046,0.363278846,146.2
0.939079848,0.343699052,108.2
0.947683925,0.31921024,259.9
0.973814889,0.227342388,328
0.94096028,0.338516989,135.9
0.945465285,0.325722881,163.9
0.948119491,0.317914188,153.1
0.89772505,0.440556165,34.3
0.90123686,0.433326807,30.1
0.934399678,0.356226392,80.1
0.918114405,0.396315454,89.9
0.978271278,0.207328979,388.3
0.830538684,0.556960946,20.5
0.952219484,0.305414562,291.3
0.86268877,0.505735194,33.6
0.896679719,0.442679886,33.2
0.897391482,0.44123523,36.5
0.865198671,0.501429218,27.6
0.904376044,0.426736419,21.5
0.912158356,0.409837935,45.1
0.939321855,0.343037102,156.3
0.917768782,0.397115175,62
0.931960922,0.36255874,105.4
0.942034157,0.335516986,265
0.883533823,0.46836736,41.9
0.894692998,0.446681587,30.6
0.869920345,0.493192248,25.6
0.960519961,0.278211079,368.3
0.933191005,0.359380784,190.2
0.897797052,0.440409415,34.8
0.95001762,0.312196288,328.5
0.9558861,0.293737578,334.7
0.927712706,0.373294971,71.5
0.932052464,0.362323343,129.7
0.901513706,0.432750548,109.8
0.889236645,0.457447471,24.6
0.888051627,0.459743741,42.8
0.896063983,0.443924924,25.5
0.873362578,0.48707064,20.2
0.879861661,0.4752299,16.8
0.889324022,0.457277578,29.5
0.89895165,0.438047863,31.4
0.875651324,0.482943846,33
0.838104304,0.545510014,7.9
0.870105712,0.492865145,21.4
0.889485216,0.456963949,30.4
0.922473284,0.386060927,73.1
0.866711217,0.498810251,40.8
0.941788745,0.336205234,173.2
0.921881122,0.387472833,103.2
0.904152008,0.427210893,80.8
0.952665613,0.304020115,303.6
0.934204454,0.356738053,146.3
0.915312833,0.402743613,76.7
0.869301341,0.494282488,77.3
0.928890491,0.3703545,329.8
0.889163538,0.457589557,56
0.930486096,0.366327211,127.3
0.941683175,0.336500814,167.8
0.866342291,0.499450733,31.9
0.903853949,0.427841137,42.4
0.892157734,0.451724006,58.7
0.865601191,0.50073404,36.6
0.896613249,0.4428145,33
0.935425329,0.353524333,121.6
0.919685129,0.392656673,159
0.930758205,0.365635288,91.8
0.930803833,0.365519116,116.2
0.896041007,0.443971299,62.7
0.864127969,0.503272145,39.9
0.925137508,0.379632178,138.6
0.883015023,0.469344724,46.9
0.831251793,0.555896084,43.9
0.881017285,0.473084077,29.5
0.923729303,0.383045918,82.5
0.883994563,0.467497179,122.6
0.914128274,0.405425084,61.5
0.844621966,0.53536318,61.5
0.901566165,0.432641248,61.7
0.935973345,0.352070871,101.2
0.894175793,0.447716039,57.9
0.899698038,0.436512818,58.8
0.878481804,0.477775805,22.6
0.951133943,0.308778597,139.1
0.895367902,0.445327206,53.4
0.904515382,0.426440997,39.6
0.94117555,0.337918015,141.3
0.902843433,0.429969458,70.4
0.942986225,0.332831758,51.2
0.908237903,0.418454192,128.7
0.916609671,0.39978333,143.2
0.908458556,0.417974941,103.3
0.872544855,0.488534006,45.2
0.9031821,0.429257607,64.2
0.911898174,0.41041652,100.4
0.900420851,0.435019875,44
0.915409621,0.402523571,99
0.860324831,0.509746197,28.6
0.870291082,0.492537747,30.3
0.862159124,0.506637588,31.4
0.94032444,0.340279219,111.3
0.847561026,0.530697943,57.1
0.853400995,0.521254967,52.4
0.898389225,0.439200184,56.5
0.889458518,0.457015913,40.2
0.898047953,0.439897572,61.1
0.973894547,0.227000907,385.5
0.855053716,0.518539432,25.2
0.930852785,0.365394435,157.5
0.862223327,0.506528315,27.8
0.918772714,0.394786904,25
0.966744634,0.255743647,42.3
0.86392046,0.503628275,31.5
0.946622613,0.322343959,174.4
0.88925639,0.457409087,52
0.898980642,0.437988362,90.7
0.826204408,0.563370461,26.5
0.909562008,0.41556823,78.1
0.857054153,0.515226338,18
0.895971764,0.444111021,10.3
0.897102316,0.441822854,63.6
0.889874213,0.456205968,70.7
0.876660917,0.481108758,37.6
0.918056507,0.396449556,84.5
0.886712008,0.462322199,29.9
0.883672925,0.468104862,38.2
0.956931925,0.290312401,32.6
0.890216652,0.455537388,44.4
0.937832716,0.347087593,72.2
0.898554125,0.438862716,116.8
0.914032523,0.405640908,69.3
0.99046319,0.137777606,399.2
0.909188459,0.416384854,58
0.94610908,0.323848125,127.4
0.903611703,0.42835253,71.5
0.919543384,0.392988504,128
0.895685763,0.444687546,31.1
0.897420053,0.441177118,67.8
0.87854318,0.477662937,29.4
0.904850919,0.425728569,62.6
0.876610198,0.481201165,45.6
0.919166543,0.393869098,87.9
0.941170446,0.33793223,95.7
0.872388626,0.488812936,40.6
0.90528637,0.424801822,123.7
0.949925794,0.312475576,194.6
0.944155011,0.329501616,129.6
0.907175351,0.420752756,56.3
0.920668827,0.390344605,100.3
0.936735463,0.350038103,124.6
0.865068825,0.501653195,30.9
0.871773501,0.489909138,18.4
0.866231963,0.499642058,13.8
0.91712221,0.398606136,80.6
0.86684372,0.498579948,36.5
0.890707624,0.454576648,54
0.903749429,0.428061876,52.1
0.89723204,0.441559358,57.6
0.921755581,0.387771387,115.1
0.871287343,0.490773232,17.9
0.838831123,0.544391723,13.6
0.876175838,0.481991598,15.7
0.882125556,0.471014334,44.1
0.888239817,0.459380047,49.9
0.824596099,0.565721904,19.4
0.915190816,0.403020806,53.9
0.840546912,0.541738764,26
0.839996044,0.542592523,24.2
0.797351554,0.60351512,16.8
0.925424729,0.378931485,144
0.951201301,0.308571036,195.3
0.925790619,0.378036678,115.9
0.915458953,0.402411362,29.9
0.934983085,0.354692304,2.3
0.897799679,0.44040406,22.1
0.88313852,0.469112305,10.9
0.884535758,0.466472392,9.5
0.868364932,0.495925745,10.1
0.869019965,0.494777021,9.2
0.880006759,0.474961161,8.7
0.908857551,0.417106644,39.8
0.899290853,0.437351073,14.9
0.882757115,0.469829624,11.6
0.927673855,0.373391509,18
0.880029556,0.47491892,12.3
0.884933989,0.465716474,12.3
0.891169639,0.453670227,16
0.884417422,0.466696714,6.1
0.884795141,0.465980212,15.3
0.917277313,0.398249081,64.5
0.876858107,0.480749269,11
0.880088022,0.474810567,17.3
0.893035522,0.449986173,18.8
0.923631085,0.383282687,176.3
0.927895039,0.372841518,51.6
0.883937791,0.467604515,15.2
0.941527229,0.336936904,191.2
0.895838892,0.444378981,22.6
0.931315739,0.364212841,170.8
0.908543102,0.417791135,59.8
0.920658348,0.39036932,69.9
0.876368883,0.48164051,10
0.887691917,0.4604379,31.1
0.898657384,0.438651236,29.8
0.894644167,0.44677938,38.5
0.913505306,0.406826813,36.5
0.876386431,0.481608579,19.5
0.905443567,0.424466661,33.6
0.909689664,0.415288714,35.8
0.893642622,0.448779305,27.4
0.907362218,0.420349623,29.2
0.905889782,0.423513521,40.4
0.888042075,0.459762193,10.4
0.875656819,0.482933883,11.4
0.876521033,0.481363562,11.4
0.876922237,0.480632281,14.3
0.881018491,0.47308183,10
0.896899526,0.442234372,19.3
0.876897593,0.480677243,14.4
0.875411235,0.483378909,24.7
0.892464902,0.451116834,12.1
0.890367204,0.455243058,9
0.882645782,0.470038747,12.6
0.89640765,0.443230555,15.6
0.888320157,0.459224672,11.2
0.908658142,0.417540873,74.5
0.888504815,0.458867294,9.5
0.893282852,0.449494991,10.2
0.921663896,0.387989255,45.5
0.907029713,0.421066621,22.8
0.928691968,0.370852031,21.9
0.929264696,0.369414571,24.4
0.882786122,0.46977512,6.4
0.891007667,0.453988257,15
0.875633295,0.482976535,8.6
0.916715837,0.399539827,27.2
0.889378772,0.457171084,9.2
0.951280603,0.308326473,27.6
0.895098369,0.445868714,8.6
0.914884124,0.403716535,12
0.881707106,0.47179718,10.1
0.896463156,0.44311828,10.8
0.889703018,0.456539747,15.7
0.870269114,0.492576562,19.2
0.862822884,0.505506351,4.5
0.914357396,0.404908078,41.3
0.883486918,0.468455832,11.7
0.891435136,0.453148319,14
0.897818266,0.440366168,12.9
0.87652061,0.481364332,25.6
0.875641202,0.482962198,9.7
0.891228875,0.453553847,10.5
0.896250252,0.443548741,11.4
0.884772639,0.466022936,24.8
0.879617137,0.475682343,16.3
0.898173276,0.439641634,26.1
0.909246517,0.416258059,27.5
0.880843571,0.473407438,7.6
0.891456175,0.453106927,10.9
0.899473355,0.436975611,24.5
0.888603326,0.458676497,10.9
0.885090067,0.465419782,13.1
0.858251837,0.513228784,9.8
0.886332941,0.463048505,10.3
0.918824006,0.394667512,19.5
0.920839352,0.38994216,117.4
0.900069127,0.435747137,32
0.904604987,0.426250886,52.5
0.877461634,0.479646829,31.9
0.872292378,0.48898467,15.2
0.875462691,0.483285709,31.9
0.89932298,0.437285007,18
0.892796918,0.450459392,91.6
0.898170185,0.439647948,18.6
0.871890363,0.489701129,38
0.907169817,0.420764688,27.9
0.900973921,0.433873246,16.7
0.861958966,0.506978047,33.9
0.887985141,0.459872144,17.6
0.881213535,0.472718421,16.6
0.865188445,0.501446861,36.2
0.862253641,0.50647671,18.6
0.893820753,0.448424422,13.3
0.882650444,0.470029993,8.6
0.888005315,0.459833187,8.9
0.894578791,0.446910266,11.4
0.910850556,0.412736314,15.5
0.944071212,0.329741636,15.8
0.9348511,0.355040027,16.6
0.904378787,0.426730606,15.7
0.936649984,0.350266766,34.1
0.892472729,0.45110135,13.2
0.903610929,0.428354163,14.5
0.934447685,0.356100441,13.8
0.93762926,0.347636837,41.4
0.918743396,0.394855128,36.3
0.931932807,0.362631001,34.4
0.892924362,0.450206713,11.9
0.883977078,0.467530239,8.6
0.933824188,0.357732281,22.2
0.893011447,0.450033949,11.3
0.938665828,0.344828165,16.7
0.883777839,0.467906755,9.7
0.940967367,0.338497289,27.4
0.895036289,0.44599332,18.5
0.936197386,0.351474685,15.3
0.910504572,0.413499001,20.9
0.873903755,0.48609899,22.4
0.914154214,0.40536659,20.2
0.9186666,0.395033769,20.1
0.954104939,0.299472477,141.9
0.909305799,0.416128542,14.9
0.890106499,0.455752588,10
0.879613401,0.475689252,34.3
0.921230537,0.389017091,15.2
0.912692465,0.408647114,18.1
0.899514142,0.436891643,14.5
0.908263588,0.41839844,13
0.905901778,0.423487861,21.1
0.916200341,0.400720521,8.7
0.923774844,0.382936075,24.6
0.913428547,0.406999126,21.2
0.900673478,0.43449659,21.8
0.901848586,0.432052228,14.3
0.916257182,0.400590534,34.3
0.932013917,0.362422486,32.7
0.902707031,0.430255756,13.2
0.901454055,0.432874794,18.1
0.912358248,0.409392753,21.1
0.914862769,0.403764925,25.1
0.91080185,0.412843784,18
0.941476192,0.337079487,36.7
0.914180593,0.405307097,12.9
0.88947755,0.45697887,19.4
0.891406148,0.45320534,32.7
0.899245711,0.437443884,15.7
0.904292695,0.426913015,14.5
0.931178017,0.36456481,12.9
0.895412334,0.445237859,7.6
0.898247783,0.439489386,12.7
0.90498396,0.425445687,13.9
0.901407829,0.432971045,14.5
0.890402945,0.455173149,23.2
0.915218196,0.402958625,19
0.909349234,0.416033616,37.1
0.910128436,0.414326236,24.3
0.892442456,0.451161239,9.8
0.890787324,0.454420448,15.9
0.903028443,0.429580762,11.4
0.927421299,0.374018362,14.4
0.908381723,0.418141896,20.3
0.906639243,0.421906723,15.1
0.876621208,0.481181107,23
0.903681968,0.428204276,12.7
0.890454035,0.455073194,12.6
0.898791481,0.438376406,14.5
0.908099557,0.418754336,17
0.91184124,0.410542997,26
0.913437151,0.406979817,25.1
0.893301543,0.449457843,14.9
0.884974956,0.465638623,11.6
0.899497424,0.436926062,28.5
0.86201618,0.506880761,34.7
0.865762071,0.500455829,9.8
0.875013855,0.484097877,16.1
0.926826048,0.37549098,31.2
0.922548066,0.385882191,27.7
0.91546819,0.402390349,13.5
0.913947307,0.405832872,20
0.907461891,0.420134403,17.7
0.898292479,0.439398023,15.4
0.910113737,0.414358524,20
0.872130141,0.489273969,13.6
0.909537763,0.415621291,14.1
0.91170745,0.410840025,15.8
0.886158096,0.463383027,18.2
0.897521016,0.440971685,7
0.904949255,0.4255195,16.3
0.909289346,0.416164493,18.4
0.856568513,0.516033316,18.6
0.914177155,0.405314853,19.7
0.883791909,0.467880178,17.3
0.858366715,0.513036629,17.2
0.915121066,0.403179158,14.5
0.911035953,0.412326925,35.8
0.90459645,0.426269003,20.9
0.908344236,0.418223323,15.5
0.899240712,0.43745416,22.5
0.890465218,0.455051311,19.4
0.895626859,0.444806171,11.8
0.878075087,0.478522874,16
0.879466998,0.475959872,31.9
0.866392894,0.499362948,14.1
0.871085607,0.49113121,11.1
0.872011128,0.48948605,6.3
0.90032276,0.435222848,22.5
0.909011144,0.416771809,23.7
0.897393384,0.441231362,21.8
0.900919265,0.433986725,9.6
0.872308104,0.488956616,13.1
0.892909895,0.450235404,14.6
0.916310587,0.400468361,16.9
0.902531254,0.430624354,15.2
0.910011653,0.414582671,15.4
0.905895175,0.423501986,16.1
0.911254847,0.411842936,15.7
0.877466722,0.479637522,18.9
0.899328035,0.437274611,9.8
0.90466123,0.426131504,13.6
0.902536377,0.430613619,18.5
0.881010094,0.473097468,15.7
0.911945524,0.410311298,15.6
0.883419646,0.468582681,20.7
0.92669108,0.37582395,10.4
0.915004429,0.403443793,23.6
0.903209404,0.429200155,32.2
0.908424731,0.418048452,34.6
0.879573156,0.475763662,46.3
0.886734516,0.462279027,17.4
0.84773095,0.530426467,7.4
0.89433008,0.447407764,32.5
0.907027268,0.421071888,34.2
0.892813288,0.450426945,16.7
0.887736174,0.460352566,18.5
0.902742121,0.430182128,15.6
0.884868513,0.465840869,13.2
0.902597262,0.430485984,33.7
0.893881886,0.448302547,17.4
0.895874713,0.444306761,11.6
0.894677522,0.446712582,16.7
0.908238753,0.418452348,34.5
0.906795842,0.421570043,11.1
0.854753291,0.5190345,26.1
0.900393932,0.435075588,12.7
0.880101867,0.474784903,15.2
0.929574538,0.368634206,63.9
0.907799469,0.419404487,30.7
0.911398505,0.411524928,15
0.916696749,0.39958362,18.4
0.905261163,0.424855537,18.5
0.911602678,0.411072448,17
0.863538195,0.504283438,13.8
0.883600563,0.468241438,15.7
0.910054535,0.414488532,16.2
0.914335976,0.404956445,18.3
0.913399576,0.407064142,19.5
0.886765758,0.462219094,11.5
0.90596065,0.423361902,14.2
0.901165105,0.433476012,13.5
0.891993243,0.452048731,13.7
0.889862518,0.456228779,15.9
0.889613077,0.456714981,20.4
0.903935853,0.427668065,19
0.856026318,0.516932243,8.9
0.901689772,0.432383574,18.7
0.90349626,0.428595974,17.1
0.906506571,0.422191706,21
0.906494475,0.422217677,15.9
0.904061934,0.427401474,18.6
0.922096677,0.386959581,14.9
0.903934878,0.427670125,27.4
0.853090157,0.521763533,10.1
0.906902578,0.421340378,14
0.910493743,0.413522846,18.7
0.916826944,0.399284804,20.4
0.908651051,0.417556305,13.7
0.918859752,0.394584282,55.8
0.90352442,0.428536605,9.5
0.905233294,0.424914913,21.1
0.870951035,0.491369814,9.5
0.881302685,0.472552196,22.3
0.910487042,0.413537599,12.5
0.928561217,0.371179292,47.5
0.907363259,0.420347376,14.8
0.908834961,0.417155863,18.3
0.904260942,0.426980268,15.5
0.908585103,0.417699785,19.3
0.899494045,0.436933018,17.8
0.889360778,0.457206088,12.1
0.909843286,0.414952039,18.6
0.911678329,0.410904641,20.2
0.911952694,0.410295361,20.5
0.909169223,0.416426854,19.1
0.910471476,0.413571871,21
0.903704154,0.42815745,23.3
0.912132309,0.409895902,23.5
0.906598251,0.421994801,24.3
0.906975734,0.421182878,20.3
0.911928766,0.410348542,20.4
0.914020077,0.405668953,43.7
0.899649713,0.436612406,15.8
0.912208168,0.409727054,16.8
0.91260441,0.408843725,37.7
0.902375708,0.430950207,14.8
0.910831175,0.412779082,32.7
0.900769372,0.434297753,15.1
0.90933396,0.416067001,16
0.908671182,0.417512494,16.4
0.906261953,0.422716539,19.2
0.905953687,0.423376802,12
0.903662606,0.428245135,13.9
0.910628019,0.413227069,17.2
0.899986079,0.435918637,10.1
0.89645144,0.443141982,13.1
0.911322009,0.411694299,18.3
0.903292461,0.429025326,18.4
0.907488661,0.420076576,30.6
0.914427897,0.404748837,19.3
0.923627771,0.383290673,42.6
0.910902797,0.412621007,14.5
0.907493596,0.420065916,17.3
0.911081654,0.412225933,45.3
0.901037311,0.433741588,17.2
0.91142278,0.41147116,14.1
0.904996901,0.425418158,12.7
0.897390481,0.441237266,15.5
0.90353787,0.428508247,23
0.876667341,0.481097052,10.2
0.916036858,0.401094097,20.3
0.916956198,0.398987884,19.5
0.915527541,0.402255295,13.7
0.916176719,0.400774524,17.6
0.910731222,0.412999566,13.9
