HX,HY,oc
0.820323349,0.571899994,36.3
0.897582827,0.440845856,42.6
0.923114611,0.384524921,37.4
0.90846113,0.417969348,77.2
0.866936596,0.498418437,39.3
0.876684084,0.48106654,16.3
0.881893826,0.471448067,38.9
0.859536474,0.511074408,43.4
0.816046411,0.577986379,20.8
0.937019396,0.349277327,146.9
0.930880328,0.36532426,96.7
0.87153216,0.490338347,34.2
0.881086134,0.472955837,35.1
0.88752273,0.460763935,47
0.914072013,0.405551915,55.5
0.881493127,0.472196852,26.1
0.921860774,0.387521243,78.5
0.928907613,0.370311554,80
0.874687877,0.484686618,24.3
0.911356804,0.411617269,45.2
0.919425847,0.393263414,104.3
0.93335556,0.358953199,91.5
0.910146798,0.4142859,45.7
0.880725095,0.473627815,10.5
0.900490456,0.434875774,33.4
0.927271543,0.374389484,75.7
0.90671591,0.421741935,42.1
0.904694386,0.426061108,79.1
0.867363533,0.497675096,45.6
0.916472635,0.400097374,60.5
0.902551087,0.430582786,55
0.906242908,0.422757368,56.2
0.898654175,0.43865781,54.4
0.880945713,0.47321734,33.2
0.89451294,0.447042057,23.4
0.865282515,0.501284518,21.8
0.937880575,0.34695825,70.9
0.857649532,0.514234654,11.7
0.774305972,0.632811394,4
0.879384337,0.476112579,42.7
0.831353386,0.555744138,18
0.880735994,0.473607547,28.1
0.904898924,0.425626523,37.7
0.898223621,0.439538765,33.3
0.865445219,0.501003566,22.3
0.868429067,0.495813429,39.5
0.874524589,0.484981178,78.1
0.836649824,0.547738142,13.7
0.860418745,0.509587661,19.4
0.909543456,0.415608832,65.1
0.917640669,0.397411126,47.5
0.88179651,0.471630062,28.4
0.913083441,0.407772768,44.8
0.865136901,0.501535784,11.2
0.925277117,0.379291783,145.2
0.890578605,0.454829362,26.9
0.910492321,0.413525977,25.8
0.882120728,0.471023377,23.8
0.883657681,0.468133638,32.5
0.881318044,0.47252355,28.9
0.861835409,0.50718806,17.5
0.847698633,0.530478113,33.5
0.926086889,0.377310315,111.4
0.869180483,0.494494982,13.7
0.922185522,0.386747803,45.7
0.933622342,0.358258738,64.1
0.891821223,0.452388003,22.8
0.842702654,0.538379269,32
0.912267652,0.409594594,42.6
0.919992619,0.391935685,71.6
0.885422839,0.464786399,35.1
0.907771131,0.41946582,18.7
0.933624438,0.358253275,31.1
