hue,oc
11.3029986197,0.95
20.3120935379,0.42
21.9932064231,0.38
27.2652276973,0.27
27.4241002808,0.34
29.0544128888,0.18
30.1053966399,0.13
16.7685617283,0.99
21.4526171174,0.65
25.0905874372,0.46
27.0824063379,0.47
28.232753831,0.19
27.668096057,0.15
27.5990071306,0.13
19.7315315271,1.18
20.6482617425,0.74
20.3128471432,0.52
24.059043565,0.32
5.23031802519,1.98
5.64071643187,1.14
5.26221341486,0.89
5.53206812725,0.75
5.41693108199,0.52
4.8531623989,0.34
6.12345020579,2.47
5.80475493193,1.15
5.71558065942,0.88
5.55104481288,0.8
5.04806171421,0.53
9.43291864693,0.83
10.4670609739,0.49
11.441845726,0.31
11.8761651612,0.22
13.1023437302,0.11
7.29932602103,2.84
8.27908618425,1.62
8.35549882107,0.92
9.34432297424,0.43
6.46573239775,2.58
7.05625818128,1.76
6.16768122782,1.34
7.86895778821,0.75
7.44266773443,0.5
10.7095192981,0.14
10.0058669612,0.09
9.31420572363,0.06
9.78082904431,0.03
7.74287194974,3.69
10.2126653856,2.26
11.9500883183,1.85
16.7623026911,0.53
4.56541641163,5.52
4.19666620115,4.19
8.76371720173,2.81
10.2834660836,2.03
16.5065148983,1.37
22.6525517527,0.6
26.0878103976,0.09
7.87740010991,1.42
12.6042622104,1.03
19.9271791098,0.64
25.9494483616,0.36
26.7199437933,0.2
27.8273809208,0.11
27.360299375,0.09
26.4050322031,0.1
27.0432926031,0.1
3.65108403083,7.89
3.30201042061,6.37
7.90785929095,2.93
13.2175482183,1.74
21.1025365766,0.82
26.8506567319,0.45
29.1272634033,0.3
30.2758488728,0.15
30.3053371077,0.12
21.7309908034,2.64
25.9691179827,1.37
29.3842966861,0.77
32.447990919,0.5
32.432895456,0.35
30.8895560394,0.27
13.9267094605,2.58
14.0093928084,1.9
13.1552312889,1.47
11.4505913342,1.36
11.3111292412,1.21
16.4494687737,0.79
21.568772322,0.45
24.1353685699,0.3
20.340384692,0.25
13.7088128396,3.33
16.0491799442,2.51
20.6898061978,1.87
24.0886484872,1.43
26.5121483333,1.03
26.7574758692,0.46
27.0812399461,0.45
27.1538828419,0.3
23.0603914908,0.11
3.19425850532,2.46
3.73067362976,1.8
3.71749989223,1.67
15.1235035232,0.64
15.1120159334,0.31
13.7044800487,0.12
13.4336851862,0.05
12.3730159959,1.49
14.7582221903,0.74
16.1375454472,0.42
15.262311034,0.23
10.4505110014,0.05
3.416703167,1.97
8.64912023538,0.71
16.6247747281,0.29
16.8997100265,0.21
18.6130501083,0.07
17.9241153902,0.05
16.3482945945,0.06
5.57194493255,0.65
5.3887731834,0.42
8.70585265679,0.16
8.52832437227,0.48
12.4125630402,1.11
23.3923064626,0.85
5.27390367665,1.0
8.12885139895,0.42
12.4769430103,0.29
18.6640549987,0.1
22.5955346012,0.16
25.8649917865,0.16
28.4960841024,0.49
16.4408464294,1.16
14.6436530817,0.72
15.6164523906,0.28
18.4767877524,0.19
15.3745207573,0.04
12.3763386156,0.56
13.3788711642,0.23
13.7298193575,0.38
14.2485464839,0.16
14.6399786324,1.74
24.0785605362,1.15
28.7869385869,0.59
27.5180144429,0.27
25.5974765816,0.14
28.0819467107,0.06
22.5939481173,0.07
13.5804796296,0.66
16.1665842886,0.45
17.3698936748,0.35
19.4472931168,0.29
21.1073769034,0.2
22.2870638778,0.12
23.1392620259,0.08
23.1228239958,0.08
23.5609147029,0.02
5.90948889253,1.17
6.63479534433,0.97
6.69455108081,0.84
6.96010272081,0.64
7.21318391189,0.45
9.01148650048,0.31
9.49712886559,0.18
9.62169548568,0.12
11.6469696409,2.89
15.6136294944,1.74
16.4526581781,1.36
16.5822938112,1.0
15.827746174,0.85
17.7137074134,0.67
19.6771049523,0.51
18.5919800938,0.37
18.7591999434,0.23
9.70679693171,6.55
11.8610757113,3.78
15.128375404,1.45
17.8821485839,0.35
23.7162281352,0.33
24.5165835934,0.2
28.7465629394,0.11
22.9335956006,0.05
27.0175265005,0.0
8.6536665826,2.0
14.9127891355,0.54
22.7469162298,0.29
20.5844823423,0.17
20.0435235257,0.22
16.0980802015,0.2
15.7769031236,0.14
13.2474025149,0.13
24.0474211315,0.05
25.4174027882,0.02
7.14497176533,2.9
7.94918525004,1.4
8.88511148264,1.2
9.04075802435,0.9
13.7042795879,0.71
16.1048740289,0.32
17.4358026606,0.4
24.6794647841,0.14
23.8816696263,0.11
24.4768313578,0.1
28.1631407873,0.03
33.4693891304,0.07
8.72980697946,0.5
10.4273519553,0.27
11.6439948156,0.14
10.7632278073,0.02
10.3359729316,0.03
22.4770932232,0.03
22.5872599058,0.05
23.0868765878,0.06
21.6684309014,0.04
24.2246924282,0.06
23.6477147616,0.03
3.44909814964,9.83
6.83000520076,4.93
8.72009208567,2.59
12.6701833488,1.35
14.8499309362,0.9
14.697902021,0.81
5.63200342445,3.69
3.69302942111,1.83
4.40041971699,1.27
4.94078392218,1.01
3.95999416997,0.84
5.04317464293,0.8
4.68745665912,0.81
10.2663327152,0.39
18.2926298758,0.21
21.2868959979,0.12
15.6849963962,0.09
7.65130501543,1.11
7.18433504833,0.57
6.38078856034,0.6
10.6743440076,0.34
4.36382405135,6.21
3.0608545397,4.9
1.75399977276,5.23
2.13474185684,4.62
2.67281033234,3.86
3.1116292343,3.9
2.13946583212,6.14
2.66909197488,5.73
2.01365601995,4.29
14.1456473054,0.22
5.71911952133,2.8
11.5650734604,1.38
12.3769498574,0.59
13.6041387949,0.35
19.9459833598,0.24
10.6723689434,1.85
13.7462840256,5.09
12.6308970324,0.85
10.7003661942,0.33
13.7192528654,1.21
16.9683669484,1.79
18.0941244234,0.81
17.454930855,0.53
17.4738560502,0.31
10.1456438432,3.2
12.0477362265,1.29
15.3031282396,0.39
14.5531902476,0.14
5.39063942512,5.12
6.35621247645,2.67
3.67236890832,3.12
9.6814495649,0.2
7.0279314701,1.18
14.7771815098,3.4
14.9028322624,2.89
17.4496043777,2.16
15.9289932952,1.63
14.3170766301,1.1
20.4436520832,0.66
21.7425792511,0.49
15.8144215723,4.09
14.6778983048,1.71
13.5134256081,1.49
14.2407501492,1.48
15.2582777692,0.35
10.8687133412,0.22
8.88364013139,2.79
8.89146688095,1.47
12.7805332216,0.64
16.082854731,0.34
19.6439021383,0.28
15.4498800653,0.43
14.0085244695,0.32
15.3712994436,0.12
17.5615614103,0.12
10.4585723939,0.43
10.0030341492,0.35
10.863855767,0.25
9.64902602077,0.35
7.40731047489,0.63
5.99291316256,1.6
5.59639557499,1.29
5.87694383359,0.52
9.08661411649,0.3
17.1316547001,0.11
20.3031930427,0.06
5.059027249,4.03
7.45983809846,0.94
11.4002137171,0.3
14.4340230792,0.21
14.1311405029,0.22
7.92442844322,0.52
12.95674824,1.16
14.9166093156,0.1
16.2626160538,0.1
18.0990802546,0.15
11.2228781104,0.74
11.7800122899,0.96
14.1694309491,0.28
6.77662757182,2.48
5.98580769318,2.21
3.0856235349,1.85
8.23409070621,0.22
6.6625612363,1.04
6.69896177179,1.01
4.2725466379,1.0
5.74153119322,0.57
5.02861807628,0.41
6.25787327604,0.33
8.19301136203,3.78
7.94896678723,2.27
14.7766341701,0.45
13.3662170777,0.14
12.6755815584,0.05
13.0376623138,0.75
5.00217876386,1.7
6.38562204009,0.99
13.2886006388,0.71
9.83450777892,0.58
18.5493315603,0.46
3.56526150436,0.83
3.38455141447,0.78
3.07849992628,0.44
2.75834146058,0.74
2.94403568287,0.65
4.18757329357,0.07
9.46658883443,0.52
13.7019372512,0.3
14.0428343416,0.23
13.8207060617,0.17
13.7496496641,0.16
9.33122865698,0.68
8.09433198244,0.37
11.0263358164,0.39
12.6643333472,0.36
11.7993466385,0.37
9.15509681482,1.84
6.98205672487,0.8
8.16647398636,0.35
11.2254280942,0.17
8.49568932413,0.17
10.233648755,0.11
16.3293197898,0.15
15.0284421181,0.38
14.1361260493,0.44
15.8943991015,0.24
18.5607466958,0.18
17.7746942526,0.21
8.97432972917,2.25
11.0047194501,0.58
13.8491338113,0.1
14.3403133635,0.08
17.6567724832,0.08
15.417429121,0.09
11.0300621014,2.54
9.38608666368,2.45
17.1991832088,0.78
18.0302953751,0.33
18.5813938669,0.22
18.3863363312,0.26
4.80782278266,3.36
8.2437680831,0.71
13.6290819358,0.21
24.8798430896,0.13
11.6833688115,0.04
5.23025088121,6.88
3.87070221108,6.42
8.35897524736,3.85
13.6040885642,1.57
18.612697668,1.06
14.0520046895,9.11
23.0003806388,2.55
25.6623505339,1.66
26.2869367484,0.67
26.0933823606,0.52
22.7153847246,0.37
24.9937137658,0.2
24.6114284291,0.42
10.5177399779,3.3
7.59421819211,5.1
8.60122772303,3.99
10.9462831267,1.76
13.4824270846,0.53
12.5884281794,0.2
5.82537641862,6.42
12.1267033041,1.55
12.6881436945,0.58
6.09940112144,0.06
9.04498748554,3.84
6.98155443537,0.94
8.67897553627,0.55
10.7140850278,3.96
11.9214284559,2.74
11.18430122,0.73
14.4997462441,0.26
9.53421627572,1.2
11.3985357277,0.33
10.1415134573,0.06
8.81049221729,0.05
6.71494056075,13.67
6.16021568961,7.07
13.241970599,4.85
11.5538568703,3.9
20.4035242223,0.52
23.069275664,0.28
24.1148961148,0.34
6.42270351128,7.12
20.6731886116,0.69
22.7760066337,0.13
21.4740254361,0.08
19.5484597163,0.08
24.6156204313,0.1
9.73977617845,5.0
19.7238951157,0.6
22.4077495975,0.21
18.3624795576,0.17
21.4854704842,0.14
23.1327735886,0.13
17.0705073307,0.29
9.84706339064,8.55
16.4468772025,1.06
20.2206409434,0.48
15.7590614309,0.35
16.8933847934,2.93
26.9428968118,0.6
16.0062784145,0.37
3.99684108191,2.39
3.1336474402,0.86
12.6910197949,0.41
17.506110639,0.25
27.0250513604,1.33
27.4740195045,0.52
26.6604901104,0.22
13.4745748658,5.27
6.84412898834,2.19
5.97742778502,1.47
5.37273354496,1.68
5.9167076875,1.38
11.1854220692,0.65
23.3074814105,0.19
26.8951579376,0.1
14.8787365145,0.42
8.11628496279,2.49
9.41006458692,1.73
9.13486528534,1.41
6.47375996745,1.37
18.714506677,0.3
24.1787223397,0.11
11.8806201074,1.12
12.3073047578,1.0
12.2280694175,0.5
14.0350744365,0.3
15.9486423383,0.27
24.6998062096,0.11
24.3937658553,0.07
10.790165912,2.35
10.7317103377,0.52
10.867800496,0.57
10.3482368348,0.6
9.62757618984,0.68
3.83805578259,36.4
11.0308272539,2.46
17.1636161047,1.34
17.8540168138,0.75
14.4986338526,0.09
11.6523608932,1.07
12.9871625674,0.16
13.7281899134,0.18
10.4709469174,0.68
15.9650351627,2.96
23.24880636,0.66
15.4938751461,0.21
11.7413522214,2.54
10.9997528198,2.81
9.54294010557,3.31
12.0915876342,3.29
9.79209856485,3.97
19.3484433306,1.24
21.8487519407,0.73
24.426040756,0.27
25.4092492776,0.2
28.9439538435,0.16
27.8931484321,0.22
27.2592155285,0.16
6.4227671656,6.17
15.3847897008,1.75
25.0632269556,0.65
25.978053317,0.25
27.1396474817,0.28
7.29885514314,6.5
7.01312377559,6.8
9.82872704652,2.1
12.0990266146,1.2
3.09765545794,14.3
4.00498508661,6.0
8.7488088621,7.6
9.12017221417,2.57
13.3163000747,1.87
17.1219373139,1.05
21.5546009844,0.56
24.0745623476,0.48
12.5180277956,2.57
27.1403666394,1.63
24.4713071474,0.9
29.1324569599,0.47
28.6429009313,0.06
29.6038040993,0.37
28.4546020155,0.24
25.1442234103,0.12
26.6629238064,0.05
14.3318894496,2.91
21.6154466001,1.05
25.2472367247,0.35
26.1881740355,0.21
27.4127774663,0.11
9.6938196537,7.2
25.01859112,0.81
28.3531012455,0.52
29.5045247779,0.3
31.2647110375,0.21
28.3318415872,0.15
26.9733100982,0.08
24.9749210146,1.24
28.5617882967,0.58
28.5583256443,0.37
27.9933076919,0.25
29.3803142356,0.19
28.6543384141,0.19
17.1788368774,1.07
28.9125945325,0.45
30.6857260619,0.35
31.3967829371,0.22
29.6237926778,0.18
13.9588904492,6.46
20.1332126822,1.56
22.9394877852,0.89
24.2565610624,0.63
25.398387856,0.47
25.5616820961,0.36
11.4816021423,3.11
13.8775636036,2.11
19.5500451595,1.07
24.8959436966,0.75
30.1381657811,0.38
32.0369111527,0.28
6.61175683684,13.29
6.88104695835,2.39
7.14301677341,1.14
10.193009521,0.22
12.4333457964,0.04
1.68141068342,15.4
1.537646443,9.78
5.66871965743,6.33
8.30706013007,6.5
19.5125375685,3.49
1.27137362033,15.88
0.583377052819,9.31
0.592927533313,11.2
20.7473382854,1.92
23.4169907116,1.26
4.81644696856,15.75
16.9212263984,3.44
2.39990527138,11.8
4.18851546188,7.98
16.8973986578,2.62
2.55751539844,6.52
13.6881301412,2.82
20.7852357901,0.71
25.1531625559,0.42
25.6045787527,0.19
26.6482868093,0.22
6.27577566745,4.37
20.7666455472,0.99
22.4694956697,0.6
27.0157264992,0.38
29.9841129976,0.29
28.4237432764,0.23
28.630899887,0.17
22.2581715097,0.04
10.8526710928,0.27
12.9903594376,1.76
13.9684504663,0.3
13.9039322477,0.28
12.8898649607,0.15
15.6734839866,0.34
12.5391087681,0.14
14.6304227503,2.6
13.9647981035,0.2
15.5193916065,0.29
13.263687969,0.15
15.2905442754,1.6
15.9598999495,0.76
15.4937622613,0.61
22.6316365398,0.37
22.0263586619,0.29
26.253160206,0.18
28.083364336,0.19
27.5204700046,0.1
26.5376014561,0.09
18.3809339845,0.48
18.8551187684,0.23
18.3533105834,0.23
19.087377528,0.18
19.1333496258,0.17
19.6161321755,0.15
17.4325394902,0.96
21.1567645067,0.25
21.5621795503,0.16
20.3805946979,0.25
20.9724275041,0.25
13.1112775285,1.11
12.6435944113,0.77
13.5447351135,0.44
12.2003849692,0.47
13.6974664976,0.28
12.8112295771,0.42
22.3925032804,1.2
24.5583016036,0.55
26.7148748504,0.16
28.3226554347,0.13
28.1842753244,0.11
28.8449969049,0.11
13.4727308114,0.53
13.4684444666,0.41
13.8010003371,0.23
14.1372271015,0.08
12.9416569909,2.93
17.9306178719,1.85
21.1515741607,1.08
20.7434089547,0.79
21.478353862,0.62
22.1033598129,0.46
19.4598277745,1.53
25.8497571018,0.58
27.8474893603,0.37
29.954935484,0.14
13.4126418334,2.38
25.8706925567,0.83
31.2482833062,0.46
32.4563635002,0.34
34.0096746024,0.21
34.9088712988,0.05
17.674126252,0.81
17.4388699521,0.67
17.8554144897,0.45
17.6634971365,0.48
17.3792843935,0.43
18.7886723224,0.4
18.5075388981,0.33
17.4475236284,0.26
16.9163671376,0.32
17.1312532687,0.96
16.7816780988,0.24
16.8262880425,0.2
17.1534302,0.17
15.4077597643,0.76
16.1932000152,0.59
14.9261214818,0.72
13.1806487244,0.43
14.0681762631,0.73
10.3719386032,0.26
14.4356221896,0.73
15.3576754069,0.27
14.6775904849,0.14
15.585687248,0.15
14.9216604168,0.14
14.2696866905,0.89
15.3693143589,0.86
14.9928360288,0.61
15.5054073745,0.35
13.5040157065,0.45
14.2753399636,0.03
15.2725589373,0.02
16.0207309045,1.5
16.9404650756,0.85
19.0971793932,0.55
20.9676306719,0.29
21.2767490808,0.18
21.7730770727,0.13
9.51351998234,1.48
8.98766686111,0.78
9.22707445231,0.42
10.0268180387,0.33
10.152227649,0.26
10.986800897,0.16
13.4910208269,2.22
22.5415729764,1.26
31.4279954045,0.61
28.7168521221,0.62
29.1342949876,0.62
29.1792228355,0.34
18.4564801488,1.87
22.3395090179,1.16
23.057754163,0.87
27.5272442401,0.44
28.4188597125,0.13
28.0079336491,0.14
27.0437444566,0.42
25.38161755,0.24
23.8725050793,0.15
23.894308565,0.12
26.2579154347,0.11
27.7697605306,0.25
25.785486915,0.09
25.4426418249,0.05
27.9779229541,0.13
28.8092686049,0.17
29.0231801867,0.07
29.3339594601,0.04
30.6370518495,0.03
24.5885165215,0.58
32.6465708818,0.16
34.7885982501,0.06
32.675458398,0.04
21.9391587417,0.0
16.5094296114,0.61
23.1363576124,0.27
23.7946259624,0.22
26.233198624,0.11
27.9904753996,0.0
33.9640527764,0.02
33.1277612404,0.04
18.1727098902,0.0
18.2181499465,0.82
25.374814602,0.15
25.7888843701,0.09
24.1547534695,0.08
25.3885003837,0.03
9.80101746933,6.03
14.277010622,4.0
13.1420840483,0.95
7.50448796561,0.03
16.5484699448,1.75
27.2682434102,0.54
26.8893839214,0.45
28.584564888,0.15
28.5259759999,0.06
17.8201116312,3.09
31.0608935693,0.6
32.2644214801,0.36
28.6027083012,0.14
26.1161840746,0.05
23.9719515617,0.53
24.3408070232,0.77
26.2383412828,0.26
26.0048878514,0.2
26.2044923801,0.15
25.6559525094,0.15
28.4144430491,0.21
13.4853037011,4.22
18.7596827908,1.6
19.9893690631,0.8
19.302449452,0.71
16.8596579521,0.65
16.9794023925,0.71
15.2849600436,2.91
20.6819017839,1.36
21.0867785972,0.96
27.7061634986,0.58
28.658237738,0.48
29.3002542187,0.39
27.953590078,0.12
28.8827254936,0.04
16.2790485788,2.65
16.767333023,1.71
16.8246560986,1.21
11.0026431793,2.2
13.4577463467,1.41
10.3737649827,2.13
14.0920844754,0.68
15.4521078082,0.28
16.4784180289,0.29
17.0026349427,0.19
19.2875538093,0.1
9.36750686276,1.19
8.23784997293,1.14
7.63952562225,1.14
5.3038950152,1.07
12.7405696621,0.29
11.8051901196,1.29
20.7244477285,0.26
20.0994277686,0.18
20.1610871969,0.2
21.8531567208,0.06
5.4208120969,3.06
6.47417183385,2.04
7.96058320505,0.78
9.46610759474,0.44
11.3074006874,0.35
6.84131011746,2.01
6.82834669177,1.82
6.21638028547,1.61
7.20002018509,1.12
15.2871274469,0.38
18.9197908068,0.26
8.55046359323,1.77
19.2201197081,0.17
16.9072019043,0.27
18.1943232173,0.17
19.3506259639,0.2
6.99644700748,1.67
7.07548519199,1.25
10.5405420441,0.58
14.9912540657,0.31
5.71178784887,1.66
12.353434121,1.12
13.6161782129,0.83
17.4107458594,0.25
15.6003034072,1.57
22.2498981217,0.58
21.4182806483,0.65
25.4353825789,0.39
24.684667749,0.3
23.5417131694,0.15
35.7509900414,0.04
13.4680450535,1.41
15.3309786014,0.58
16.7784643303,0.52
19.1104113449,0.41
16.0073708974,0.35
15.2733981529,0.28
13.6306106823,0.18
16.7987190495,0.1
18.6376241223,1.92
32.8632734005,0.56
35.8648992634,0.29
37.9034791818,0.16
23.1822093776,1.74
26.7183356761,0.52
26.9915139976,0.29
27.0078122979,0.26
6.5512890447,3.66
15.3317616206,1.07
15.8338137593,0.76
17.0379482711,0.32
17.0919686883,0.13
16.3599120947,1.04
17.8213270439,0.44
16.9511289945,0.23
13.1209776539,1.04
11.7122507572,0.44
12.6517630314,0.23
4.05451536464,1.28
3.80151569553,1.02
5.68550862071,0.8
9.31682545023,0.39
11.56382492,0.29
14.6821830079,1.12
15.0471787393,0.68
18.070804259,0.32
19.3627356676,0.16
20.8185755932,0.14
20.0559952669,0.11
7.33932481635,3.74
8.13306476619,1.78
8.93998604862,1.0
12.4704923587,0.74
11.3717177945,0.95
11.6566683902,0.76
14.970457241,0.43
19.2979121111,0.22
19.0264203821,0.19
17.512819707,0.09
13.1177771828,0.95
12.4450653013,0.74
12.7027963979,0.83
15.838500772,0.57
16.7027625362,0.39
16.237736982,0.35
11.7125700516,4.95
13.5866751312,3.14
15.677570556,1.3
15.1843594204,0.29
16.0080261717,0.58
17.2606875771,0.61
16.3428239421,0.56
16.1587844536,0.54
13.4971406722,1.49
17.6248304253,1.0
18.3909893392,0.4
22.0568484657,0.49
21.1752671705,0.3
21.741293656,0.3
24.2820151608,0.24
24.9205281001,0.21
25.537514398,0.21
24.7218554488,0.18
12.0512141472,3.27
17.6081403785,1.88
23.7621423698,0.61
25.639688947,0.36
26.2730914811,0.27
26.2409462765,0.26
7.73937694984,0.47
13.5230834763,0.22
14.8499869548,0.2
20.8822736975,0.12
22.1829232302,0.13
7.54825598461,5.25
10.337474733,3.46
28.4975278997,0.75
30.6164524644,0.28
3.21564979013,2.73
9.52766078946,1.04
19.1580559091,0.71
24.2280607964,0.44
26.1304102358,0.29
26.9670206553,0.28
9.80164631594,2.22
16.195414943,1.09
9.29822986034,2.45
16.8223390416,0.6
24.405901336,0.45
27.7296728837,0.47
31.8942284953,0.3
14.437878157,2.47
17.3550668157,0.42
18.4594387313,0.2
17.9411033425,0.29
17.9660839628,0.31
14.8573684694,0.39
16.1606121827,0.44
15.1798848828,0.41
15.9882249649,0.93
17.1850725486,0.37
21.1622472299,0.3
22.2143499183,0.22
22.6292027416,0.24
23.0536033989,0.2
13.924824745,0.46
17.039463772,0.38
16.7378238183,0.32
18.7135181757,0.26
17.1519945871,0.23
23.2826814185,0.15
24.0335396087,0.03
15.8319071011,0.62
15.7012827808,0.52
18.4972125659,0.37
19.8766142418,0.37
21.9715317132,0.3
23.8844785179,0.18
14.6101673868,0.71
21.7454655663,0.82
17.7624635418,0.8
18.6240916181,0.13
17.5255434711,0.66
17.8874528872,0.44
16.585902938,0.46
21.4395076196,0.47
23.5733025912,0.23
24.8071600824,0.23
24.6993766974,0.18
24.1000748488,0.09
20.7229010921,0.54
20.8747824125,0.43
19.9908079047,0.44
19.3005764505,0.36
21.5799840117,0.27
18.1728546245,0.83
22.0416822056,0.38
25.6333555979,0.43
25.7613694736,0.33
25.1855380839,0.31
27.4366373469,0.21
26.8183403472,0.18
