,lr-rgb,lr-hsv,lr-cielab,plsr-rgb,plsr-hsv,plsr-cielab,rf-rgb,rf-hsv,rf-cielab,svr-rgb,svr-hsv,svr-cielab,nn-rgb,nn-hsv,nn-cielab
lucas-0-0,0.239917793,0.333394759,0.261422482,0.234545685,0.33295079,0.25983189,0.615552092,0.663331586,0.640974506,0.548080815,0.590203991,0.567852033,0.6600798786267145,0.6927882867956145,0.6861660171700832
lucas-0-1,0.259150732,0.354096428,0.284277282,0.259139182,0.353221192,0.284157647,0.67567822,0.750171192,0.709417249,0.616857592,0.663248816,0.649964829,0.727740772074585,0.7614588765677341,0.7639151738205312
lucas-0-2,0.222324036,0.297891431,0.246166934,0.21844854,0.295474236,0.244082257,0.560886176,0.641385311,0.581668327,0.426263403,0.535109551,0.49311539,0.5920643364650306,0.6706268359552863,0.6412003107670989
lucas-0-3,0.250086196,0.341640212,0.273052448,0.248370891,0.341688642,0.273342834,0.634562184,0.737592219,0.663145041,0.566202928,0.641222743,0.574067689,0.6951525698436569,0.756823562093742,0.7191513076934392
lucas-0-4,0.239519149,0.322020453,0.263238491,0.238250903,0.321810781,0.263053913,0.635847293,0.67761714,0.658926468,0.556693832,0.62021583,0.598957117,0.6809804162077346,0.7110810377449167,0.7101263804705218
lucas-0-5,0.22835367,0.314066303,0.251725883,0.221981957,0.313351531,0.249114808,0.527267887,0.634680362,0.543970254,0.492838651,0.549341468,0.520631246,0.5974630294975127,0.6331522833859051,0.6265694721556203
lucas-0-6,0.24302451,0.337226299,0.267344641,0.238626964,0.338470633,0.266416483,0.624362435,0.773143466,0.690102426,0.601094097,0.692363275,0.658232366,0.6991333365829346,0.7728809692435248,0.766968211604237
lucas-0-7,0.255765672,0.352000044,0.287238401,0.252431542,0.349442681,0.284083449,0.6523688,0.732981298,0.696308096,0.590529049,0.650664109,0.627632528,0.6990756859187605,0.7483528459316797,0.7398739124564984
lucas-0-8,0.250969853,0.353616371,0.278016481,0.24713196,0.350680405,0.275146475,0.606686756,0.675320118,0.650306732,0.535976258,0.613998048,0.577688321,0.6638248546331305,0.7290715158859984,0.7008558128239193
lucas-0-9,0.256474575,0.353391281,0.285549824,0.252842292,0.35301819,0.283645408,0.679870802,0.797773247,0.716622744,0.623865709,0.699229749,0.677331567,0.7374426015581468,0.7881777373682193,0.772959280414791
raca-0-0,0.234065943,0.262231333,0.238210929,0.227056208,0.262871653,0.23521932,0.400203921,0.452444071,0.403078854,0.396443504,0.410787587,0.40032121,0.41875722356818423,0.4434812708439758,0.4356428226866583
raca-0-1,0.224340618,0.245774465,0.232305922,0.221630756,0.243824731,0.230109494,0.384291912,0.416621028,0.403852243,0.387513525,0.389552246,0.391063609,0.4047632538527536,0.421680606854532,0.41220686733933676
raca-0-2,0.22499783,0.251430118,0.234477928,0.225152944,0.249977819,0.232139764,0.399436615,0.399726496,0.398592939,0.406576202,0.407719985,0.393375309,0.41564565329883363,0.41970248967218726,0.42050277990365015
raca-0-3,0.238087005,0.271427204,0.242598678,0.234168434,0.271053644,0.236708527,0.42614635,0.443504504,0.422827327,0.421137873,0.433902191,0.409830521,0.4504553310405114,0.455427259648432,0.44950505572848853
raca-0-4,0.238226418,0.259792244,0.246064593,0.236039575,0.257083284,0.246143974,0.415292304,0.440066904,0.408071357,0.407119431,0.419301678,0.393883055,0.4237421077513309,0.4432600114663613,0.42021711318216126
raca-0-5,0.216359301,0.246867093,0.219871966,0.210630673,0.248173816,0.216659513,0.365570918,0.409897336,0.366469154,0.374154362,0.379430549,0.382790249,0.3804342599489642,0.40790976698782666,0.3958359847326566
raca-0-6,0.24457931,0.263137267,0.25358059,0.24266623,0.262085624,0.254061988,0.411675829,0.422544505,0.403296121,0.395350454,0.390621548,0.402412899,0.42107847681129906,0.42665421693415595,0.4328141730045546
raca-0-7,0.245766566,0.27010547,0.253334357,0.245080916,0.269763955,0.253940035,0.380836379,0.43174011,0.396775652,0.385577857,0.390778667,0.394360358,0.40269331696948585,0.4275905575720814,0.41407904293316866
raca-0-8,0.242526678,0.262293364,0.250348728,0.240018568,0.261447519,0.249887008,0.391090448,0.415912081,0.401423905,0.378977343,0.381266061,0.387981662,0.40695538777744866,0.4146527835538417,0.4211394739280063
raca-0-9,0.22871176,0.238473397,0.233602473,0.228966206,0.233620018,0.229730442,0.399356337,0.412752848,0.408856493,0.408153138,0.406801848,0.40490318,0.4198229111319325,0.4281099051481956,0.42675223921548167
ossl-0-0,0.187114603,0.194034954,0.201168628,0.18668753,0.194953884,0.201154035,0.449399454,0.626449571,0.51737384,0.454345368,0.57520109,0.545813156,0.6588206331972153,0.6720171648254938,0.6527952113759349
ossl-0-1,0.211664772,0.220926993,0.222944688,0.21194071,0.220884457,0.222422055,0.506896081,0.718023397,0.566069658,0.510177423,0.640052481,0.595801296,0.68573243490224,0.7137238724091212,0.7060290314437994
ossl-0-2,0.205608011,0.225819412,0.220304021,0.20522375,0.226197469,0.220173127,0.479662264,0.70121822,0.55938732,0.49680434,0.635776343,0.592421337,0.7023366525066896,0.7490765034135728,0.7241161590818517
