,lr-hsv,lr-soci,lr-ibs,lr-ikaw,lr-rgri,lr-difgb,lr-difgr,lr-ColFeatInd,lr-RI,lr-CI,lr-SI,lr-BI,lr-HI,lr-rn,lr-gn,lr-bn,lr-ngrdi,lr-difNorGB,lr-h,lr-s,lr-v,lr-hsv,lr-hsv-si,lr-si,plsr-hsv,plsr-soci,plsr-ibs,plsr-ikaw,plsr-rgri,plsr-difgb,plsr-difgr,plsr-ColFeatInd,plsr-RI,plsr-CI,plsr-SI,plsr-BI,plsr-HI,plsr-rn,plsr-gn,plsr-bn,plsr-ngrdi,plsr-difNorGB,plsr-h,plsr-s,plsr-v,plsr-hsv,plsr-hsv-si,plsr-si,rf-hsv,rf-soci,rf-ibs,rf-ikaw,rf-rgri,rf-difgb,rf-difgr,rf-ColFeatInd,rf-RI,rf-CI,rf-SI,rf-BI,rf-HI,rf-rn,rf-gn,rf-bn,rf-ngrdi,rf-difNorGB,rf-h,rf-s,rf-v,rf-hsv,rf-hsv-si,rf-si,svr-hsv,svr-soci,svr-ibs,svr-ikaw,svr-rgri,svr-difgb,svr-difgr,svr-ColFeatInd,svr-RI,svr-CI,svr-SI,svr-BI,svr-HI,svr-rn,svr-gn,svr-bn,svr-ngrdi,svr-difNorGB,svr-h,svr-s,svr-v,svr-hsv,svr-hsv-si,svr-si,nn-hsv,nn-soci,nn-ibs,nn-ikaw,nn-rgri,nn-difgb,nn-difgr,nn-ColFeatInd,nn-RI,nn-CI,nn-SI,nn-BI,nn-HI,nn-rn,nn-gn,nn-bn,nn-ngrdi,nn-difNorGB,nn-h,nn-s,nn-v,nn-hsv,nn-hsv-si,nn-si
lucas-0-0,0.33339475925293,0.3919102308339247,0.4746487602562956,0.1679444310858575,0.0893282686578643,0.2125851403592263,0.1103763756248327,0.1128071112020774,0.5311574426071188,0.0832845932238416,0.0019448834345515,0.2337233715527312,0.0294461602904594,0.0118580748443936,0.2529418060586669,0.0199134655826529,0.0832845932238416,0.158616636743771,0.2917010456139165,0.0024065406626906,0.2307638156603649,0.33339475925293,0.6460573866828812,0.6459969084635435,0.3329507897272771,0.3919102308339245,0.47464876025629565,0.16794443108585755,0.08932826865786436,0.21258514035922638,0.11037637562483271,0.11280711120207743,0.5311574426071191,0.08328459322384163,0.0019448834345515698,0.23372337155273126,0.029446160290459544,0.011858074844393607,0.2529418060586669,0.019913465582652945,0.08328459322384163,0.15861663674377102,0.2917010456139164,0.002406540662690637,0.23076381566036497,0.329589343732103,0.6250079419604301,0.6255806986959708,0.6690764518940266,0.4230327914594122,0.5621158024072135,0.19309890772592841,0.12130165783465319,0.42527649198193673,0.14651065588366463,0.1573053739705893,0.6051130525695537,0.12007199235076726,0.0076937715016137664,0.4872445570289844,0.05886111716365661,0.0318922664300747,0.33060456748711253,0.02241528103553525,0.12113265666325679,0.21481231987690952,0.5561954089856304,0.008594970368482002,0.46073484029539225,0.6651657040287314,0.6977034925380575,0.6982071316228539,0.5902039911228247,0.2591861488707059,0.39787243264712924,0.028460357832811756,-0.05309761725023843,0.2806800110398753,0.014148498469538029,0.025550113882209957,0.44130659187520604,-0.05331820583448699,-0.07003225996109808,0.33787803019089613,-0.05579613832817354,-0.06929008959427518,0.10928343234506199,-0.059553063434746534,-0.05331820583447011,0.057170499795837326,0.39408695982835407,-0.06856094217727682,0.29632276333862706,0.5902039911228247,0.559007421179373,0.5601688705288117,0.6927882867956145,0.4055690328457583,0.5355448878867984,0.1906298800305023,0.10678365594781414,0.4268000645609331,0.14791654290607825,0.16008021761789593,0.5875354467911592,0.10598548638787564,0.007483214347425049,0.4869079806323906,0.03227197124480241,0.02593936221204529,0.32132096542453203,0.020407647558895792,0.1083216680862985,0.21013054728639358,0.5631373198276988,0.007181327402678295,0.4479742132960839,0.6927882867956145,0.6760161907011975,0.7043566181033696
lucas-0-1,0.3540964275684235,0.4527348399669967,0.5318529194094119,0.2005431139815124,0.0796955761720447,0.2280101620391222,0.1376495029747571,0.136157655941659,0.5819383071012998,0.0769371525260562,0.0042065008548503,0.2564913818016341,0.0372232771166131,0.0063972267687261,0.2481536080391017,0.0297595443368339,0.0769371525260562,0.1849766325707033,0.3104329511143852,0.0048487478888833,0.2565425287192974,0.3540964275684235,0.6887928115120807,0.6888131902678309,0.3532211919783246,0.4527348399669967,0.5318529194094117,0.20054311398151248,0.0796955761720447,0.22801016203912228,0.1376495029747571,0.13615765594165907,0.5819383071013,0.07693715252605626,0.0042065008548503036,0.2564913818016341,0.03722327711661311,0.006397226768726116,0.2481536080391017,0.02975954433683392,0.07693715252605626,0.1849766325707033,0.31043295111438507,0.004848747888883342,0.2565425287192974,0.35182612277236414,0.6653506077466478,0.6638502209221107,0.7459522080400376,0.48960350466801816,0.615949033027964,0.23825561782396099,0.11614560183779254,0.4933168513512456,0.205960620192711,0.20644701261723586,0.6442098986439506,0.11470556591166448,0.011377007428497454,0.5480895700620725,0.07015532975454275,0.033215781550613666,0.3318280315261819,0.034988906728797176,0.11574353399017157,0.2575451120334755,0.5845525130560995,0.0113747448991246,0.5020411930416049,0.7457197892818042,0.7626037747775662,0.7650001445130805,0.6632488163693306,0.3261655624143487,0.4667553045545335,0.0761523936207289,-0.03270252573673327,0.33514395807614206,0.06261028603441343,0.06014070401733096,0.5090835017564088,-0.03217402580686479,-0.0465497784352078,0.38825130058476176,-0.02413416029957194,-0.04681614797720557,0.1274234865558509,-0.03720648565246276,-0.03217402580686124,0.09499685501315758,0.4510897823271639,-0.04636004079343703,0.34875009739705864,0.6632488163693306,0.6446322731560338,0.6395613313750641,0.7614588765677341,0.4620156975258921,0.5792379943806572,0.23864831325213198,0.10605149466349884,0.4989311118842573,0.20198017257600076,0.2023016852500702,0.6309042032017259,0.10606587224263764,0.010362267802923042,0.5489265201967026,0.055502730525926136,0.025195427484432598,0.3286780551114118,0.030448536622915023,0.10920419464567199,0.2554494537144355,0.5939848112734468,0.01057683104036855,0.5088989414843117,0.7614588765677341,0.7663196634339455,0.7761745751460939
lucas-0-2,0.2978914309648305,0.3890111707571403,0.4404249792546547,0.1807859802583461,0.0265619351961321,0.2035653560294673,0.1101636538978863,0.1104236772126798,0.4661457562866943,0.0245116948774001,0.0039740774129085,0.2122673999179187,0.0469787461350197,-0.011527012586864,0.1779392820050673,0.0303103244675133,0.0245116948774002,0.1511071743958193,0.2449395032167518,0.0048857093339779,0.213661489876561,0.2978914309648305,0.5948368901447079,0.5948206484827907,0.2954742358562015,0.3890111707571403,0.44042497925465485,0.18078598025834636,0.026561935196132258,0.20356535602946735,0.1101636538978863,0.11042367721267987,0.4661457562866943,0.024511694877400236,0.003974077412908561,0.21226739991791865,0.04697874613501962,-0.01152701258686406,0.17793928200506737,0.03031032446751336,0.024511694877400347,0.15110717439581944,0.24493950321675184,0.004885709333977917,0.21366148987656108,0.2989007520481185,0.5755436673913574,0.5680365858050953,0.6409956164264445,0.40511411788068985,0.4839838120765967,0.21731482351950326,0.045580287501269856,0.4500941753333948,0.165433197627337,0.1814371571061023,0.5206440873767011,0.044842085735251946,0.004240032510750558,0.4595033611351471,0.06996447596884436,-0.012305775585747192,0.24314337085268833,0.037156079275597276,0.04588068824984515,0.22274536500087372,0.5421867991483198,0.000163908311767047,0.4222175077441829,0.6421373297883877,0.6686018479354201,0.6642376350309216,0.535109551067054,0.19442758478224065,0.26232897522135035,0.005451441516905242,-0.10689971532475684,0.2330941720283799,-0.03218164160688586,-0.004840263547689627,0.29581535198019526,-0.10781656072196744,-0.11897749215347786,0.23659215779738219,-0.08215907955533841,-0.11993242622916167,0.015984543814274277,-0.10774212106924197,-0.10781656072197632,0.027071425980502717,0.3381310592785256,-0.11914558796534824,0.20606671990193381,0.535109551067054,0.49514951428753373,0.4910070845614577,0.6706268359552863,0.4119316862532679,0.46344995683123913,0.2163188436070067,0.03997142734470249,0.4411044607307021,0.1609785272028652,0.18379291042720336,0.5058261350679281,0.039959776851969275,0.012750436391938624,0.4542554150394217,0.06927412984436088,-0.0032789240138761944,0.23290235614316634,0.03391112535207863,0.039267615116591714,0.21898728738843887,0.5391300688141164,0.012531293215526818,0.4201651912700539,0.6706268359552863,0.6642259072910031,0.6684574093037658
lucas-0-3,0.3416402119970914,0.4631860376086072,0.5821546929610695,0.182376226140232,0.0987699402421963,0.2185064545061268,0.1240950045726764,0.1237336382767209,0.6234139400760688,0.091849981139519,0.001804575288438,0.246497955344956,0.0177165837207481,0.0119582135968161,0.2674862217889044,0.0225925469857786,0.091849981139519,0.1689331231668031,0.2981222516576278,0.0020398960665007,0.2455425174059445,0.3416402119970914,0.7120181732127064,0.7119250402764267,0.3416886419519667,0.4631860376086072,0.5821546929610695,0.18237622614023208,0.09876994024219643,0.21850645450612682,0.12409500457267642,0.1237336382767209,0.6234139400760688,0.09184998113951903,0.0018045752884380262,0.2464979553449561,0.017716583720748136,0.011958213596816147,0.26748622178890447,0.022592546985778617,0.09184998113951903,0.16893312316680298,0.29812225165762785,0.0020398960665007904,0.24554251740594446,0.33931714593142903,0.702300971518838,0.6950429021733275,0.7393793978333376,0.5021391227290546,0.5911812142617128,0.21307846433643718,0.1345383738570891,0.4933337618954269,0.18452864177525663,0.17052679347757704,0.631540164358546,0.1344557210981444,-0.0022046254227117146,0.5554655664826513,0.03006749216360427,0.02666707753904063,0.4000398954195803,0.02317192077863306,0.1315720765849826,0.22990859074486458,0.6378302980459827,-0.0021609500999486553,0.5213416904330501,0.7377182929973942,0.7623675614587855,0.7607195603369219,0.6412227431786436,0.3160490046430018,0.4082959311346024,0.01723087648302757,-0.06825503279504508,0.313857824570403,-0.010735209609945118,-0.004200843371337415,0.4336765922841279,-0.06800060449329459,-0.08698802837360287,0.37393278639780647,-0.07811793986431015,-0.08554963822167538,0.20367175627039225,-0.07897721859573137,-0.06801853835198024,0.02588858719602216,0.45296302860319715,-0.08781300240515089,0.33448336316241944,0.6412227431786436,0.6095088519395921,0.6076936250359907,0.756823562093742,0.46144522866794613,0.5891837744401442,0.2211748114353711,0.1301634684171925,0.5033094454180171,0.19155787384048284,0.17080816128338805,0.6297064720350251,0.12921041435223024,0.00418298652308835,0.5517613229302727,0.032175007499574915,0.029806930092548645,0.3739362946963444,0.023120363512625586,0.13167415446249797,0.23926384412390234,0.6304785585114915,0.004204825961091063,0.5157333929542198,0.756823562093742,0.7584009244760472,0.7631396257756206
lucas-0-4,0.3220204530991019,0.3990164934055439,0.4959796450314396,0.1745432976484231,0.0876317346649336,0.2099229522735531,0.1181644809460636,0.1153896439973859,0.5461067172621327,0.0828073283476255,0.0026806067907491,0.2358457255518221,0.0220954681260379,0.0109945846404323,0.2454078316324859,0.022190219840957,0.0828073283476255,0.158122919467286,0.2874860655620623,0.0031367232042934,0.2354577505676093,0.3220204530991019,0.6502254961797841,0.6502433830486635,0.321810780984615,0.3990164934055439,0.49597964503143976,0.17454329764842313,0.08763173466493368,0.20992295227355318,0.11816448094606369,0.11538964399738594,0.5461067172621328,0.0828073283476255,0.002680606790749107,0.23584572555182204,0.02209546812603791,0.010994584640432348,0.24540783163248592,0.022190219840957037,0.0828073283476255,0.15812291946728607,0.28748606556206235,0.003136723204293479,0.23545775056760931,0.3192387088672728,0.6283012860080162,0.6198713390167307,0.6828342168156505,0.4185745352681095,0.5782752630867665,0.19192214302889332,0.12523044125163707,0.43804036073797503,0.15193760106811371,0.15896937496683683,0.6045869602933731,0.12665241367040925,0.009531821237071969,0.4734868649610814,0.06778055286814955,0.0383970719925496,0.34170730964817464,0.024046637167142726,0.12849840346935892,0.21718898746938187,0.5625472755022872,0.010096175125122508,0.4336887262343442,0.6814485339601959,0.6986902514231442,0.694620952764097,0.6202158300386477,0.2343497595351436,0.4071199200615553,0.043675444646404826,-0.05009252399574393,0.2561268859252418,0.020951416313293225,0.026264312472305096,0.43146133313921964,-0.05047375300028767,-0.06475747714455093,0.2988147689919518,-0.03794557481057481,-0.06442403995608714,0.15315742732020277,-0.05702560262977441,-0.05047375300027768,0.05734296449169518,0.40070479180223173,-0.06438626772438938,0.2586977350694861,0.6202158300386477,0.5922088188898672,0.5904127167723416,0.7110810377449167,0.39399042893176983,0.5206196083314354,0.1955401493177229,0.11768385580358498,0.43313194886162487,0.1521443611566351,0.158528930225748,0.5754441609254646,0.11719723473632115,0.006591029341043941,0.47848937158977867,0.04266128533966629,0.036973263699973,0.331891221223361,0.020155496842207188,0.11865199813076888,0.20477492100303452,0.5649865968709564,0.006349932766021693,0.43566554147096126,0.7110810377449167,0.7039599800724556,0.7185224477277441
lucas-0-5,0.3140663033300327,0.3541040712734916,0.4427714026256721,0.1580114712663013,0.1091899253283514,0.20800638906735,0.1007299194288037,0.1079606889571432,0.4856310373617369,0.1024102663147218,-0.0004719720517329,0.2193292022481704,0.0120280285532005,0.0182282952299421,0.2696726759455857,0.0144784394167166,0.1024102663147218,0.1509461536761922,0.2848951996992039,-0.0003255310406771,0.2172816398823339,0.3140663033300327,0.6036072063040353,0.6036191521446399,0.3133515306330748,0.35410407127349164,0.44277140262567216,0.15801147126630133,0.10918992532835126,0.20800638906735003,0.1007299194288035,0.10796068895714328,0.48563103736173696,0.10241026631472183,-0.000471972051733216,0.2193292022481702,0.01202802855320051,0.018228295229942182,0.26967267594558575,0.01447843941671667,0.10241026631472183,0.15094615367619224,0.28489519969920407,-0.0003255310406773404,0.21728163988233395,0.30900779283594904,0.5776789930653714,0.5759110048966399,0.6348064327889598,0.37171137960953327,0.4689781324444249,0.17564185716308878,0.15065326452819872,0.38539321931283055,0.12032854382641123,0.13093481991083544,0.5078307370656835,0.1511186632126854,0.009176631516780387,0.41416384838772957,0.04597316548405317,0.05124261800241614,0.3744900822229241,0.010303768540407487,0.14921619786596974,0.19493002299042916,0.526842917158068,0.008986191137857147,0.3879974396433332,0.6360143452438665,0.618912371238943,0.6156259214719115,0.5493414676364103,0.20314177741594241,0.30560102503841935,0.02378156845391033,-0.04251337451712489,0.22508869515853192,-0.004897319859879179,0.01193438578068784,0.340459762441387,-0.04181932629769625,-0.06025540445048416,0.2582009609981738,-0.04898282960736777,-0.05887811651484931,0.16603207208536463,-0.05423927548076102,-0.04181932629768115,0.03868102562497289,0.34496454340553173,-0.059842166686197906,0.22358717607061518,0.5493414676364103,0.5201946048489919,0.5194182150088067,0.6331522833859051,0.3466874120504704,0.46711802923957046,0.16745636340418568,0.15042827385175273,0.38134276478956286,0.12412632229723564,0.1354217620455993,0.5078763331380066,0.1503835690731089,0.0011378238477152136,0.4149279871634919,0.027386559446076153,0.046305945158537254,0.36848893481544154,0.014406152031100072,0.15698934648013274,0.18745231086504333,0.5162029362743858,0.0006958967463515098,0.3772537046670449,0.6331522833859051,0.6353493679290085,0.6414916788016335
lucas-0-6,0.3372262986067859,0.3900134386004436,0.5074524737021773,0.1565348145469417,0.132810986121685,0.2110826984377687,0.1069718961899796,0.1028838627981283,0.5618101675767586,0.122701539596463,-0.0061811274331655,0.2378721539364217,-0.0011650680214934,0.0245771453982643,0.2951822741298479,0.0036598564286162,0.122701539596463,0.1474751691798211,0.3052573002977387,-0.0060874172186691,0.2352747542810626,0.3372262986067859,0.6876570861781472,0.6876616232881789,0.3384706330446341,0.3900134386004437,0.5074524737021773,0.15653481454694163,0.13281098612168507,0.21108269843776872,0.1069718961899796,0.10288386279812833,0.5618101675767588,0.12270153959646302,-0.0061811274331655675,0.2378721539364217,-0.0011650680214934095,0.0245771453982645,0.2951822741298479,0.003659856428616215,0.12270153959646302,0.14747516917982095,0.3052573002977387,-0.006087417218669122,0.2352747542810627,0.33196617571345655,0.6570124607807419,0.6583973802572131,0.7752650367112748,0.426464089099059,0.5732961757859807,0.16848751580637722,0.2008951668431046,0.4377425404781239,0.13541661062021626,0.12359694617814332,0.6234650851466321,0.20200914973259188,0.009169958657334831,0.5001060871184047,0.06589240186625156,0.07532272038419141,0.4128401326092276,0.00945834125787881,0.20100450933014802,0.17565979575558333,0.620817232976624,0.010184854697305679,0.46513341882178005,0.7737005905601336,0.7687977761630317,0.7649904420936654,0.6923632747966315,0.27948218724943497,0.4307000540854492,0.04938175929232813,-0.0216180160356354,0.28423065915999446,0.029087554684817496,0.03022440695050721,0.4734208974861277,-0.020939324023155903,-0.041085787937022555,0.3543264110726202,-0.022607378955575186,-0.03772602316299056,0.27684160964348825,-0.034242145257658896,-0.020939324023145023,0.056373900961213974,0.5021343756938524,-0.04020626620254353,0.3080981268954933,0.6923632747966315,0.6521243163408712,0.6483816985526776,0.7728809692435248,0.3907422679646567,0.5426989411801317,0.16504051093908767,0.1866492812821572,0.43367725570544013,0.13647691115187188,0.1242767284848828,0.6039175033295778,0.18538800916364062,-0.0005846021900062226,0.49193499054021383,0.01829632005043791,0.06935426275545808,0.40110981629010645,0.005830872292510891,0.19104109543796133,0.174000073220697,0.6260535261677724,-0.0012967354642694495,0.4462274056644354,0.7728809692435248,0.7778085065003724,0.783198168404112
lucas-0-7,0.3520000439106516,0.443270217697726,0.4861675185375037,0.1998674096115316,0.0901256503197592,0.2361827457991854,0.1377834671884342,0.1351050113951666,0.5198647209433154,0.083799715014904,0.004215251649839,0.2450403171135977,0.029606145803615,0.0086977647960817,0.2673488873381597,0.0284277607641415,0.083799715014904,0.182976623119475,0.3118713970374795,0.0045888395202773,0.247656739867315,0.3520000439106516,0.6742033024763856,0.6741646631560752,0.349442680747559,0.4432702176977259,0.4861675185375036,0.1998674096115317,0.09012565031975972,0.2361827457991854,0.13778346718843426,0.1351050113951665,0.5198647209433153,0.08379971501490402,0.004215251649839047,0.24504031711359775,0.029606145803615314,0.008697764796081753,0.26734888733815976,0.028427760764141552,0.08379971501490402,0.18297662311947505,0.31187139703747957,0.0045888395202773324,0.24765673986731507,0.34827606471339967,0.6405075513487519,0.639131091952557,0.7299605143213241,0.47913503993605067,0.5963866105283251,0.23689510916954282,0.10447920673453248,0.500147462968985,0.19744572304304608,0.18564784220320896,0.6245620031993644,0.10435877496649848,0.008311822352324638,0.5369237920603596,0.0519933787710275,0.02501725074584349,0.3512887152021532,0.02868762102003597,0.10504793466706219,0.2500854725984737,0.621864982032972,0.009208810253258926,0.49426810802444265,0.7307232404632373,0.7498679195789039,0.7491668532191225,0.6506641090714147,0.2817859613037015,0.4231778761486651,0.05538371744986936,-0.049103576590856735,0.29987747590488856,0.03247668899174816,0.03228696723353375,0.456970342883788,-0.049666527598766885,-0.06461697510551634,0.35555881279445023,-0.04184324506201409,-0.06457403817165752,0.15341456709601786,-0.05634998393583923,-0.049666527598753785,0.06474672716110041,0.46552714891656044,-0.0641714843956882,0.3114107182889957,0.6506641090714147,0.6189475068512653,0.6177483413247922,0.7483528459316797,0.4798606953906598,0.5526073054103162,0.23732094897313394,0.11485089239503554,0.49087964921617844,0.1883065942502774,0.1890269920520864,0.6014608231652114,0.11518177895441284,0.006925181190855723,0.5322295874364751,0.0470752244226702,0.026061250871411756,0.3465774684683509,0.02849497430784398,0.11580481758186356,0.24817783185827513,0.6225274300707212,0.006992555471498463,0.4887465971207098,0.7483528459316797,0.7526241685488961,0.756705460685806
lucas-0-8,0.3536163706205862,0.4657869727244232,0.4998500278539225,0.2010297393376975,0.0743313304799961,0.2321701237025356,0.139345720331419,0.1444032661407663,0.4943014754597504,0.070810362328394,0.0062822937889986,0.2418747306739759,0.0454629852155207,0.0031662228883444,0.2472489674268596,0.0354390374845514,0.0708103623283942,0.1949196088461691,0.3130721679166354,0.0070952896646311,0.2425888359741436,0.3536163706205862,0.6517101054149994,0.6516848456343756,0.350680405354789,0.46578697272442326,0.49985002785392274,0.20102973933769763,0.07433133047999618,0.23217012370253565,0.13934572033141912,0.14440326614076637,0.49430147545975023,0.070810362328394,0.006282293788998694,0.2418747306739759,0.045462985215520724,0.00316622288834445,0.24724896742685964,0.03543903748455146,0.070810362328394,0.1949196088461691,0.3130721679166354,0.0070952896646311325,0.2425888359741436,0.34937956559741756,0.6178890527729678,0.6184161017136502,0.6775714499046821,0.47192059391800334,0.5551334094787663,0.2352871637958598,0.10975049449340857,0.4887280940301437,0.2112974353099938,0.2228877861711891,0.5763116223144182,0.1099472742855655,0.012050019977339677,0.5142690849859639,0.07516261933047685,0.02333417515153824,0.33676140175905134,0.042461340847186335,0.11002118363462399,0.2718638737826604,0.5586976373452246,0.011847514479365162,0.46602121589532486,0.6739117718304495,0.7173486883166033,0.7166391400688933,0.6139980481395505,0.2902327335729521,0.3736561102818281,0.050803939230876116,-0.05971250581145093,0.31658486739990344,0.0291851489711068,0.04625349491503172,0.3916624249584453,-0.06018997791912439,-0.07350070249055984,0.33892196215651416,-0.041347861466761504,-0.0749947445317598,0.09886178771754928,-0.06305258036247063,-0.06018997791910552,0.0863744726116249,0.3612545994875417,-0.07397192501591232,0.3071145633039928,0.6139980481395505,0.5778542459167104,0.5768223185313941,0.7290715158859984,0.48375451608211717,0.5294928798881919,0.241645386664182,0.10073971979714269,0.49484238030868144,0.20351551561471926,0.22304047399668825,0.5675615550220601,0.10001352062073421,0.012538187419205205,0.5193790783264838,0.06693488807100645,0.02347048738474944,0.3205939238684322,0.035817010163197494,0.10655363723464228,0.270109013964398,0.5636916941727751,0.012244599231702291,0.48329867780540703,0.7290715158859984,0.7274950831306913,0.7254762667547954
lucas-0-9,0.353391280735851,0.4398926504949676,0.5521240956838211,0.1823102202032606,0.1179328019592198,0.2293721091224156,0.122385114013879,0.1217458534904888,0.5957023116150986,0.1097773629923281,-0.0001326845433082,0.248871869400636,0.0168011249608723,0.01878183581521,0.2913949242056826,0.0177030573531523,0.1097773629923277,0.1712188790724992,0.315285576720042,0.0001350682027931,0.2485511437436075,0.353391280735851,0.7229544675905146,0.7230214899420062,0.353018189545064,0.4398926504949676,0.552124095683821,0.1823102202032606,0.11793280195921985,0.22937210912241546,0.12238511401387919,0.12174585349048872,0.5957023116150986,0.1097773629923281,-0.00013268454330828128,0.24887186940063577,0.016801124960872382,0.01878183581521009,0.2913949242056826,0.017703057353152363,0.1097773629923281,0.17121887907249922,0.3152855767200421,0.0001350682027931871,0.24855114374360754,0.3492960762240803,0.6943720541895333,0.6913079565976173,0.7970860021511357,0.48050481182667404,0.6111319145139312,0.21526881124998776,0.1848395111515041,0.49686743723196625,0.17015617284083817,0.17156535958513075,0.6569507194234951,0.18677195263957835,0.009102337803006288,0.5517218054720696,0.051899552222700485,0.05988721354235438,0.4155438900403824,0.021101432410179144,0.18638756364850928,0.23634166705502346,0.6582391516626637,0.008918981916083313,0.5054972874904926,0.7957945596331817,0.793834413370592,0.7970340993612592,0.6992297486915652,0.3012544768219545,0.4599619235142859,0.04811667479519999,-0.03185245085322763,0.30898064808038805,0.025075731559822123,0.03384484683741751,0.4899207714920113,-0.03235910069272263,-0.050609889766537464,0.3815993844632264,-0.030517296671500826,-0.04900739514889829,0.2388860054001266,-0.0423602509408898,-0.032359100692726184,0.06353405800288514,0.49584360806230954,-0.05056810477334128,0.3311099807092751,0.6992297486915652,0.6699513164250088,0.66566055466738,0.7881777373682193,0.4765965118157085,0.5777500277119514,0.21357969264236476,0.1715792099904362,0.498685295263121,0.1727427843262892,0.16964909522892158,0.6420451606911178,0.1706751945428524,0.005791798506171508,0.5470931179259935,0.037783352966079486,0.05176786677738432,0.40859277128953186,0.021788651009492455,0.1737706833539644,0.23791770318764216,0.6531525034114619,0.005893453204767529,0.5013333443821429,0.7881777373682193,0.7968820752286433,0.8018909912475944
