L,a,b,oc
15.3465364672,1.2528975199,7.0909563272,36.3
14.423585823,2.73544862032,5.88881220814,42.6
11.4570214306,4.14397379832,6.59271307851,37.4
11.3343129821,2.83054315,5.39138154214,77.2
18.1236446876,4.26014062518,11.6369203234,39.3
18.4051125057,4.39311337262,10.9706341965,16.3
15.3412623619,4.03749542256,9.61266678486,38.9
20.6775867809,4.68433038422,13.5751419247,43.4
15.2366124301,0.906483548443,5.883886254,20.8
8.81847853476,3.69659543667,4.79504053275,146.9
9.72908446046,4.07246946235,5.77066271729,96.7
17.0802102467,3.11556309471,8.58482314994,34.2
18.0212802586,3.0235062056,7.66674399254,35.1
23.5087838441,5.0353718389,11.415716826,47.0
14.8305172709,4.17856912068,7.34115440043,55.5
19.2514650101,5.01906410412,11.797084939,26.1
14.5501890403,4.62263286196,7.45464457142,78.5
9.9782785406,4.19595198625,6.08454456759,80.0
25.3048201238,5.67838255027,14.2422898367,24.3
15.1095562799,5.42863002728,9.5294550625,45.2
6.56093835613,2.28237884864,3.3625707886,104.3
12.5136596925,4.33588233144,6.2282073538,91.5
18.8846703347,6.16573600212,10.9265593529,45.7
23.2633334098,5.89108893122,13.815001545,10.5
16.0186913878,4.84431257967,9.54228510672,33.4
13.7607223697,4.79695727568,7.29693814418,75.7
14.3368506485,4.76883321145,8.8367882046,42.1
14.197928573,4.39314041833,8.36843941228,79.1
21.3891358609,4.20135560946,11.6651277394,45.6
13.3830081067,4.56692818254,7.73778438657,60.5
16.3807679917,4.34427427192,8.52211327934,55.0
11.8649809444,4.32513536342,8.01454256204,56.2
14.0245416209,4.47611490138,8.98106327149,54.4
20.9869667405,4.84156959471,11.594623057,33.2
14.8409895421,4.14783826139,8.75897696162,23.4
15.8337876291,3.80728281411,10.6408000503,21.8
9.56430630401,4.33926248835,5.66311059513,70.9
21.1777516272,4.76136174227,14.0131208018,11.7
22.4779464877,1.39172829936,14.4745210114,4.0
18.9947411946,4.65921640339,11.2809919015,42.7
20.0816072216,4.18356140145,15.7552230953,18.0
18.5568953388,4.55850767058,10.9232170104,28.1
14.0208475587,4.85577673467,9.1162511284,37.7
17.874433091,4.75110999151,9.64621000805,33.3
22.0469241568,4.98611943526,13.6641907793,22.3
16.6394111454,4.04024355604,10.9110909567,39.5
11.6967347337,3.29608587411,8.3866135254,78.1
24.6407316085,4.52657957259,16.4916555151,13.7
18.3552983692,4.30686243731,12.4369786432,19.4
14.1988401322,4.17377702833,7.64203670938,65.1
14.6352319327,4.56441138503,7.67858849504,47.5
15.6692168826,3.89972208473,9.35959387046,28.4
13.2997893266,5.29671293429,9.11788683044,44.8
25.6732177069,5.63257391685,15.3791586547,11.2
6.5863237484,2.66178931052,3.6059439715,145.2
20.3934867769,5.36089815164,11.5768052243,26.9
10.85498626,3.64477385651,6.55694730153,25.8
16.6343463092,4.53017780717,10.6344860743,23.8
14.3495872882,2.56359915746,6.3820687317,32.5
14.4318135147,2.44136249456,6.26249877654,28.9
18.1542366561,3.9181249857,11.3834290237,17.5
23.5702392393,3.94817373328,13.4201652633,33.5
8.71612180268,3.20471979101,4.681217599,111.4
16.9930843001,3.66633359495,10.0345197792,13.7
8.65558634116,4.24490953481,6.01908996362,45.7
10.3838821481,3.57256610346,5.1301434933,64.1
15.0894520133,3.98280399281,8.67670909552,22.8
21.5425004975,2.97966794255,11.192733777,32.0
11.1209624491,4.09666697317,7.1603187521,42.6
8.47778509601,3.39304251759,5.08190705199,71.6
20.2630521547,5.30732120049,12.0019156416,35.1
12.4532031196,3.95702954699,7.36239440038,18.7
6.47290709293,1.93212161836,2.55618126883,31.1
6.34595710852,2.53230336215,2.74460423423,157.2
18.1475204047,4.69104689013,11.278707356,35.7
16.6439442138,3.83002067382,9.53036403515,31.9
16.4161414144,3.99715283178,10.614959727,19.8
18.3370667332,3.15441715693,10.7134706192,24.4
12.7938394867,4.5369549426,8.38688653877,66.6
15.9077468788,3.56480836841,8.8226930238,33.0
14.0581452886,3.1424207291,8.86228852174,41.7
15.6059380145,4.35549801885,9.20839921417,29.8
14.7463818446,3.99921780254,8.29756184545,32.9
16.9447282918,4.64615313663,9.35772790264,45.5
15.6039914344,3.46520087842,9.23542335754,37.1
15.9248174354,5.03313987038,11.023149937,31.7
23.0933868868,4.67932772712,10.279406262,68.7
10.1484709744,2.73328082511,5.92925364286,45.1
15.3465535772,4.31859796859,8.99674368428,31.8
17.5886393565,2.19949477922,7.7095943964,17.5
16.2534671613,2.62921994191,7.67439836655,33.5
17.9898893403,5.19866758243,11.0994004412,33.5
16.3742169003,2.55636947744,8.72107677314,25.0
18.4278679699,4.10405844015,11.7900929345,27.0
21.1683077579,4.23003127757,13.9049745223,15.7
18.4993416674,4.28144812183,11.3853288383,24.1
19.752409816,4.32695352687,13.5769966626,20.2
22.5540600503,5.28763530012,13.9591551937,36.3
23.5125331563,4.25406437208,14.7523418684,23.9
