,red,green,blue,hue,saturation,value,l,a,b
lucas,0.495,0.605,0.583,0.612,0.01,0.495,0.572,0.083,0.471
raca,0.291,0.351,0.368,0.381,0.045,0.291,0.331,0.051,0.241
ossl,0.319,0.413,0.36,0.439,0.013,0.32,0.396,0.014,0.262
mean,0.36833333333333335,0.4563333333333333,0.437,0.47733333333333333,0.02266666666666667,0.3686666666666667,0.433,0.04933333333333334,0.32466666666666666
