0.186 & 0.237 & 0.166 & 0.196
0.536 & 0.603 & 0.505 & 0.548
0.279 & 0.16 & 0.328 & 0.256
0.518 & 0.716 & 0.853 & 0.696
0.168 & 0.077 & 0.05 & 0.099
0.314 & 0.206 & 0.097 & 0.206
0.315 & 0.262 & 0.171 & 0.25
0.274 & 0.142 & 0.444 & 0.287
0.411 & 0.596 & 0.385 & 0.464
0.162 & 0.067 & 0.104 & 0.111
0.212 & 0.108 & 0.138 & 0.153
0.626 & 0.825 & 0.758 & 0.736
0.26 & 0.479 & 0.225 & 0.321
0.327 & 0.261 & 0.384 & 0.324
0.413 & 0.26 & 0.392 & 0.355
