,Linear,RF,NN
rgb,0.23882495586,0.595916564852,0.659402983982
hsv,0.328753878987,0.709174099833,0.670817261148
hsv_xy,0.501359438826,0.707866585314,0.0
XYZ,0.0,0.0,0.0
xyY,0.0,0.0,0.0
lab,0.0,0.0,0.0
