h,s,v,oc
0.875600719992,0.0712494114104,0.932842235414,37.58
0.867460866647,0.0609400947625,0.931039269288,136.72
0.897819319116,0.0470247951921,0.895997300082,95.8
0.941483656911,0.0934737110598,0.900702976638,71.69
0.87214849136,0.0563807282467,0.919536981132,116.47
0.810658722991,0.0482611447038,0.900428844875,52.05
0.885724688554,0.0645113945995,0.932326649042,72.66
0.883439171336,0.0619694107211,0.926419952553,92.65
0.875886063653,0.062695711677,0.927700731409,39.32
0.885313298882,0.0623011141296,0.943216959536,53.34
0.876161344615,0.0676022882999,0.947139174978,78.66
0.862802918064,0.0583678112711,0.949741689396,87.68
0.821116671149,0.0590667859211,0.947338307026,145.89
0.808333215611,0.0482431745643,0.93810035649,29.97
0.808617019818,0.0476131330925,0.944159790654,70.07
0.7489846486,0.0483674223741,0.93260555721,66.38
0.848329549056,0.0453284091656,0.950951574862,73.47
0.849300715733,0.0692498733198,0.958487600525,61.69
0.834706072747,0.0419274439413,0.943957194824,71.06
0.829428702113,0.0547486593385,0.939413941281,54.65
0.820758464299,0.0419146488034,0.935217663992,51.22
0.848627376749,0.0335844729187,0.960442565171,135.76
0.833555600893,0.0485137864692,0.94660392087,79.06
0.866860574686,0.0515631946663,0.95459026483,98.29
0.857656637646,0.0513631301341,0.950225546273,77.07
0.855632803084,0.0594228997356,0.956537055679,96.76
0.846190841884,0.0623829438011,0.95459026483,99.28
0.830838503292,0.0434257146048,0.932866505402,68.59
0.843386431138,0.0478159551493,0.938447755627,50.65
0.717628231648,0.0487665867697,0.917102129767,116.76
0.608575463955,0.0950364356282,0.886945437451,14.15
0.785153134516,0.0527022626074,0.940203143746,65.37
0.828694718621,0.040664978767,0.948400558377,40.65
0.868003257877,0.0551845226334,0.965347777382,48.49
0.67205700177,0.0376849011166,0.944688653178,20.58
0.832336084388,0.0547136210438,0.958557348654,40.34
0.722228362384,0.0516280595361,0.928183624285,87.47
0.827097809779,0.0549584592692,0.958019835274,78.74
0.647752603905,0.0617421643784,0.918126663483,85.23
0.84523210146,0.0605806531653,0.961911464754,51.64
0.61992844058,0.0683149988506,0.922495590666,86.94
0.867522517705,0.0486938595961,0.969043786042,34.74
0.870902599458,0.0468878628246,0.96879680974,52.6
0.8297890846,0.044870855913,0.949197970561,62.92
0.62717706468,0.0662278819087,0.915312092474,78.96
0.629907893263,0.0707144159908,0.91276146976,61.2
0.727774933749,0.040292691759,0.93312730745,85.7
0.717099284885,0.045451496738,0.940993017888,32.82
0.857588105497,0.052142606559,0.968056708708,74.18
0.853136802309,0.0593904214552,0.96781021351,160.33
0.733514718444,0.0456732442266,0.939413941281,115.87
0.879232015309,0.0375466267047,0.971020952208,153.29
0.857022403367,0.042886376492,0.966331863378,128.91
0.836408756319,0.0416993052578,0.934804079516,87.94
0.829436886581,0.0461477752104,0.94232085321,123.53
0.831141610147,0.0625364342466,0.94232085321,81.53
0.867886279395,0.0614904505054,0.956654903721,117.73
0.868786064231,0.0467794467313,0.96726194354,174.88
0.876169722707,0.0475552330191,0.964137111463,129.85
0.895076737254,0.0588344956732,0.998954712545,138.8
0.893948102653,0.0442004933878,0.991930627432,143.08
0.901030751548,0.053275101598,1.0,166.36
0.882487494495,0.0526219919897,0.992070189935,128.78
0.806414964782,0.0342504843632,0.935672572222,150.77
0.906013044431,0.0321897931761,0.987610048412,142.88
0.830247954523,0.0403466117639,0.949290859121,196.73
0.88217192683,0.0585913162754,0.997044173686,117.71
0.893232455828,0.0533851808874,0.99635108942,157.1
0.786881773147,0.0385801091928,0.936998073577,181.11
0.773501976701,0.0326055288072,0.933820279193,198.7
0.871179080068,0.0544552230377,0.970768330844,192.23
0.866666539414,0.0380384842337,0.960101614502,210.17
0.824286752522,0.0424483741745,0.959279803477,95.77
0.771070705851,0.0492437215859,0.951506146347,80.55
0.72960438499,0.0507399582973,0.937799720572,38.07
0.828950195279,0.0594729274321,0.954551575972,123.71
0.799131324405,0.0429546885477,0.928337083081,114.37
0.76513353002,0.0447463561411,0.905015253406,60.86
0.830266980524,0.0412099928814,0.93373105013,113.7
0.855968107933,0.0532626738242,0.941625476043,86.12
0.846875981342,0.0476335207484,0.938174447173,108.97
0.845882192682,0.0435226326269,0.946082046299,83.21
0.839936002306,0.038569711148,0.943603404193,93.87
0.840369414147,0.0425594918699,0.951559176947,90.27
0.811421772446,0.0493901654126,0.956773411777,56.28
0.779288793572,0.0427241494276,0.939705132716,97.35
0.761583984469,0.0486772053583,0.931029622251,97.41
0.84205187729,0.0457404806688,0.948816439911,116.71
0.824722614916,0.0424179402278,0.958164993744,101.86
0.829789839134,0.0362020438325,0.94929807455,103.15
0.848670047098,0.0427144574721,0.96362553545,54.33
0.823946924043,0.042269762942,0.962633342155,100.77
0.823670069542,0.0471391160919,0.953165904732,86.88
0.84265585721,0.0373431643962,0.959333698073,93.07
0.844081656685,0.0516638629223,0.96641330183,84.83
0.824584793698,0.0383704507475,0.959001086048,68.39
0.848086413372,0.0493623730503,0.964891543108,93.21
0.844866213747,0.0361354691687,0.96084603205,103.51
0.877149350882,0.04062256598,0.941625476043,110.63
0.861307534641,0.0402180061912,0.95380940618,63.22
0.851133038334,0.043175689754,0.947075277685,161.64
0.860633675659,0.0427728722304,0.959333698073,114.76
0.866703503522,0.0461679768024,0.957320813085,83.64
0.866954400707,0.0478834834784,0.966667236081,53.1
0.855611196531,0.0437195020872,0.964638299652,81.74
0.853021787628,0.0459962122895,0.963119553261,103.25
0.842806578558,0.040334460637,0.952308588324,45.6
0.842886390119,0.0366023158654,0.961855870582,96.55
0.845694184756,0.0427920432735,0.962613838972,141.23
0.84144484789,0.0411477338443,0.952308588324,76.07
0.821599282424,0.0432944354179,0.940796081802,79.37
0.839459909886,0.0475078633959,0.946826926084,48.06
0.838748762805,0.0409538615725,0.958326723782,81.24
0.865330097809,0.0406234518078,0.962613838972,94.0
0.858797981891,0.0414177079083,0.962866550953,147.9
0.816204206109,0.0385236657377,0.944624921206,73.02
0.843309901888,0.0461499671416,0.961098503448,98.66
0.872168616547,0.0485749100009,0.964638299652,69.72
0.85754540791,0.0495930554604,0.965398678516,95.46
0.834058600917,0.0387817651952,0.958326723782,102.82
0.823998050709,0.0561649503199,0.959837912344,115.41
0.811597579852,0.0451749593987,0.940523172251,97.11
0.836852248593,0.033980925163,0.932778439226,90.88
0.854741930932,0.0396542892531,0.9401449098,127.33
0.860074767748,0.0450845940636,0.946826926084,45.1
0.872814117006,0.0423262136101,0.947572392336,56.89
0.860947584628,0.0505209228639,0.949563472569,43.95
0.850086845402,0.0513539603264,0.94211951753,49.46
0.819483852496,0.0442621162744,0.936712895288,83.59
0.840424473162,0.0440222177818,0.94310837175,94.37
0.846836814283,0.0481482800288,0.956065181259,105.22
0.853390749124,0.0529598269173,0.959837470322,103.99
0.845237858736,0.0489303980344,0.949314466303,128.64
0.844745741885,0.0490933096503,0.9401449098,116.27
0.838773201801,0.0417068097698,0.945089634583,119.71
0.839752267315,0.0470868964309,0.948816439911,104.73
0.845165675582,0.042249245026,0.948567408941,108.73
0.874835497296,0.0508492396075,0.952308588324,96.3
0.857099842093,0.0385117173474,0.944346341164,94.77
0.836977066825,0.0391103843081,0.936699525001,94.51
0.836165032202,0.0378129687669,0.946330202519,98.87
0.857925359304,0.0401793197175,0.950810344366,96.76
0.853593766349,0.047200988297,0.94732391692,74.36
0.834219014693,0.0379097775808,0.945089634583,107.0
0.853603564349,0.0458226547937,0.961855870582,91.59
0.860169099403,0.0442020383558,0.958326723782,88.7
0.86165351804,0.0485735955581,0.961098503448,87.92
0.841153804201,0.0464740802379,0.95330879338,81.05
0.836340836725,0.0404480308817,0.940391510882,81.95
0.853621667993,0.0528588556952,0.954059804564,104.86
0.84559598454,0.0473236128787,0.959837470322,118.84
