,linear,plsr,rf,svr,nn
lucas - rgb,0.245,0.241,0.637,0.559,0.617
lucas - hsv,0.336,0.336,0.727,0.63,0.715
lucas - hsv_xy,0.519,0.333,0.728,0.618,0.717
lucas - XYZ,0.152,0.151,0.612,0.512,0.0
lucas - xyY,0.279,0.265,0.703,0.576,0.0
lucas - cielab,0.27,0.268,0.687,0.598,0.0
raca - rgb,0.233,0.231,0.408,0.397,0.354
raca - hsv,0.256,0.254,0.435,0.402,0.435
raca - hsv_xy,0.314,0.312,0.435,0.4,0.405
raca - XYZ,0.141,0.138,0.398,0.354,0.0
raca - xyY,0.237,0.213,0.426,0.36,0.0
raca - cielab,0.24,0.238,0.422,0.397,0.0
oss - rgb,0.198,0.197,0.536,0.484,0.629
oss - hsv,0.219,0.219,0.717,0.616,0.709
oss - hsv_xy,0.289,0.285,0.718,0.634,0.621
oss - XYZ,0.106,0.104,0.456,0.289,0.0
oss - xyY,0.196,0.186,0.67,0.599,0.0
oss - cielab,0.212,0.212,0.6,0.579,0.0
