,lr,plsr,rf,svr,nn
lucas - rgb,0.245,0.241,0.621,0.556,0.705
lucas - hsv,0.336,0.335,0.708,0.626,0.73
lucas - cielab,0.27,0.268,0.655,0.595,0.716
raca - rgb,0.234,0.231,0.397,0.396,0.412
raca - hsv,0.257,0.256,0.425,0.401,0.428
raca - cielab,0.24,0.238,0.401,0.396,0.428
ossl - rgb,0.198,0.197,0.48,0.484,0.702
ossl - hsv,0.219,0.219,0.679,0.617,0.726
ossl - cielab,0.212,0.212,0.55,0.579,0.697
