,linear-rgb,linear-hsv,linear-hsv_xy,linear-XYZ,linear-xyY,linear-cielab,plsr-rgb,plsr-hsv,plsr-hsv_xy,plsr-XYZ,plsr-xyY,plsr-cielab,rf-rgb,rf-hsv,rf-hsv_xy,rf-XYZ,rf-xyY,rf-cielab,svr-rgb,svr-hsv,svr-hsv_xy,svr-XYZ,svr-xyY,svr-cielab,nn-rgb,nn-hsv,nn-hsv_xy,nn-XYZ,nn-xyY,nn-cielab
raca-5,0.21,0.234,0.281,0.119,0.206,0.218,0.211,0.232,0.279,0.113,0.164,0.215,0.4,0.416,0.415,0.384,0.422,0.41,0.371,0.377,0.368,0.34,0.344,0.373,0.391,0.389,0.39,0.33,0,0
raca-6,0.258,0.278,0.338,0.16,0.265,0.264,0.253,0.277,0.337,0.161,0.246,0.263,0.421,0.441,0.441,0.409,0.433,0.426,0.411,0.413,0.415,0.362,0.369,0.409,0.415,0.441,0.404,0.387,0,0
raca-7,0.225,0.249,0.312,0.125,0.257,0.239,0.227,0.247,0.31,0.123,0.187,0.245,0.411,0.441,0.441,0.401,0.425,0.425,0.402,0.405,0.409,0.363,0.357,0.398,0.416,0.425,0.416,0.372,0,0
raca-8,0.247,0.27,0.333,0.155,0.256,0.255,0.245,0.268,0.329,0.152,0.233,0.255,0.424,0.455,0.457,0.418,0.448,0.437,0.411,0.425,0.424,0.361,0.379,0.415,0.423,0.455,0.453,0.38,0,0
raca-9,0.257,0.282,0.326,0.167,0.257,0.262,0.252,0.282,0.326,0.165,0.243,0.26,0.407,0.433,0.432,0.388,0.423,0.417,0.394,0.394,0.39,0.348,0.359,0.397,0.415,0.425,0.426,0.363,0,0
oss-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oss-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oss-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oss-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oss-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oss-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oss-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oss-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oss-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oss-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
